,Index,Frequency (Hz),Z' (Ω),-Z'' (Ω),Z (Ω),-Phase (°),Time (s)
0,1,100000.0,52.3700360228619,1.05315474327099,52.3806243562363,1.15205553343586,670.727623306576
1,2,79433.0,52.3435731188115,0.969526486477179,52.3525513079577,1.06113169520949,672.690655301619
2,3,63096.0,52.3625898549777,0.948591663419606,52.37118141177,1.03784695328407,675.198704295287
3,4,50119.0,52.3825778328873,0.968446659803877,52.3915293664098,1.05916103937464,677.531745289397
4,5,39811.0,52.4513218267689,1.02368732583453,52.4613104784503,1.11809418359495,679.789789283696
5,6,31623.0,52.471176991781,1.1195068968644,52.4831183390901,1.22225750991532,682.13283227778
6,7,25119.0,52.563460501143,1.22779785916861,52.5777982368813,1.33809389095613,684.530877271726
7,8,19953.0,52.6294604784978,1.40142724131579,52.6481159071287,1.52532242120478,686.948920265621
8,9,15849.0,52.7712929197684,1.59679300081844,52.7954458671528,1.73316944941863,689.401968259427
9,10,12589.0,52.8701313057474,1.84658854446034,52.9023692620614,2.00034947717233,691.950014252994
10,11,10000.0,53.033274975913,2.13911342272097,53.0763983415045,2.30979076642535,694.613062246271
11,12,7943.3,53.1593866404381,2.51818570090482,53.2189970519158,2.71210121452598,697.296111239497
12,13,6309.6,53.3559575837132,2.95796200533661,53.4378868304129,3.17313081017232,700.279168231965
13,14,5011.9,53.5503966565507,3.48502784320212,53.6636786024011,3.72352426433465,703.177223224648
14,15,3981.1,53.8096323597094,4.13058261050882,53.9679372163633,4.38958090150854,706.070273217344
15,16,3162.3,54.0299066715843,4.89000961301206,54.2507420129481,5.17149976032808,709.028328209876
16,17,2511.9,54.3190793500608,5.82621956654551,54.6306435608789,6.12209229531154,712.176388201927
17,18,1995.3,54.6369903541145,6.96944039515215,55.0797041965294,7.26933535881699,715.28444419408
18,19,1584.9,54.9927761815303,8.37145354300311,55.6263127177647,8.65558403503064,718.432505186132
19,20,1258.9,55.4103849284317,10.0772266390852,56.3192795999066,10.3074600918077,721.675562177944
20,21,1000.0,55.8302349948225,12.1766853896751,57.1426881294207,12.3036497965745,724.608618170539
21,22,794.33,56.2625478084314,14.7715381761393,58.169344383319,14.7107993939124,728.031681161897
22,23,630.96,56.7778008042294,18.0186853356916,59.5683782336856,17.60706505115,731.30974315362
23,24,501.19,57.3184524646075,22.0461487010133,61.412031927666,21.0380248423418,734.562801145407
24,25,398.11,57.9880706866839,27.124812306309,64.0185268857097,25.0685658834845,737.740862137383
25,26,316.23,58.8286286047845,33.5077173489283,67.7021023710146,29.6650525803765,741.003922129145
26,27,251.19,59.8998613469844,41.4929922894551,72.8674261829024,34.7105771998109,744.331982120742
27,28,199.53,61.4090310334622,51.5277500719393,80.1634462828599,39.9997014814283,747.620045112441
28,29,158.49,63.4783181211453,64.041364898828,90.1709115490919,45.2529805095584,753.504154097585
29,30,125.89,66.5300264245464,79.6742165454214,103.798965303983,50.1372476129894,756.927217088942
30,31,100.0,70.9671591847696,98.9913105160391,121.801548596228,54.3631507911604,760.620285079618
31,32,79.433,77.6646915759441,122.655792561603,145.176608882083,57.6583281014516,764.468355069903
32,33,63.096,87.381090498377,152.048561173188,175.368811170978,60.1143625359796,768.386428060011
33,34,50.119,102.572324560197,186.968475005925,213.256400634831,61.2504930869982,772.584508049412
34,35,39.811,123.77999501341,227.22742945316,258.754307908894,61.4210783094944,776.962589038358
35,36,31.623,154.344592776602,273.444287148424,313.996865419839,60.5576091020051,780.915662028377
36,37,25.119,198.627674768376,324.527659899906,380.488048726896,58.5312167539781,784.248721019962
37,38,19.953,257.296422583727,374.97025975397,454.757237187429,55.5429347677808,789.036810007874
38,39,15.849,331.096119579141,421.263967297702,535.805907529736,51.8341125538891,792.494873999143
39,40,12.589,422.287566874116,454.54419703626,620.433087605585,47.1068302851668,795.802934990791
40,41,10.0,524.284628885427,471.037024789152,704.805115480688,41.937716151338,799.350999981833
41,42,7.9433,621.834784032311,467.368296725923,777.889210245907,36.9283629183994,809.661193955802
42,43,6.3096,716.472499329328,445.578897634163,843.725901174125,31.8777488595576,821.63941792556
43,44,5.0119,802.150542697914,412.188554242932,901.856361844521,27.1965628982199,833.687637895141
44,45,3.9811,874.720039424422,373.081746081851,950.960113059504,23.099004192607,840.541765877836
45,46,3.1623,925.487259654146,329.390201527116,982.356642286403,19.5911544679812,852.27198484822
46,47,2.5119,968.850407650649,290.000295317576,1011.32155306268,16.6637100201519,859.933125828878
47,48,1.9953,1003.74096227989,255.647903209913,1035.78558098392,14.2891476807916,863.391189820147
48,49,1.5849,1030.18056509387,227.617089064459,1055.02679394,12.4592570200857,867.049254810911
49,50,1.2589,1050.30453932857,205.699038479941,1070.25778192255,11.0809557270314,871.882346798709
50,51,1.0,1068.17839869253,189.217689668294,1084.80801320636,10.0452011941552,878.193461782775
51,52,0.79433,1085.24520641672,177.783047404583,1099.71085745069,9.30346180528905,882.311538772378
52,53,0.63096,1102.47936524836,171.382706741084,1115.72074596125,8.83602563748114,886.684617761337
53,54,0.50119,1119.68249083585,169.700539220856,1132.46949331813,8.61823320788132,891.397706749437
54,55,0.39811,1137.71980921453,171.726046914357,1150.60688311342,8.58336322273606,896.385797736843
55,56,0.31623,1154.50845798514,176.809889370416,1167.96897070873,8.70704435166574,902.113905722381
56,57,0.25119,1175.77868763488,187.112944802208,1190.57413730055,9.04220345131992,908.472022706329
57,58,0.19953,1200.61241373498,199.670222365031,1217.10244667975,9.44226939106816,915.655153688193
58,59,0.15849,1222.98215305108,213.853033240152,1241.53874949897,9.91857018689831,923.84330766752
59,60,0.12589,1252.18082414665,235.210111632624,1274.08030083462,10.6384936569065,933.316480643602
60,61,0.1,1284.51940324629,253.956694451588,1309.38309900998,11.1834742264805,944.354685615734
61,1,100000.0,52.4336785585882,1.03670244491255,52.4439262369308,1.1326868172139,963.680045566942
