Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	100000	56.8529747421794	1.29059812621127	56.8676215482789	1.30042672451726	3875.95796021415
2	79433	56.9021154400237	1.14368247164419	56.9136077853595	1.15143973914291	3878.30100120823
3	63096	56.8909609315415	1.09752242278493	56.9015464744386	1.10519496195754	3880.99405320143
4	50119	56.9229305479869	1.10834828480847	56.9337198687331	1.11546708800918	3883.68710119463
5	39811	56.9838858313969	1.14321526140999	56.995352315602	1.14931831862442	3886.53015718745
6	31623	57.0371290193788	1.24897530658596	57.0508021511506	1.25443865019639	3889.26820518054
7	25119	57.0671040457003	1.37918209705595	57.0837674599323	1.38443916432457	3892.06125917349
8	19953	57.1739249776508	1.55393207132319	57.1950382658524	1.55686068446567	3894.89431016634
9	15849	57.2979263838176	1.76734710892839	57.3251767000226	1.76672074147226	3897.78236315905
10	12589	57.4302785009859	2.05136450872937	57.466903388372	2.04569059961092	3900.72541615161
11	10000	57.5525269898008	2.3759838688927	57.6015508667691	2.36404193154983	3903.81347614382
12	7943.3	57.7444654767781	2.7963641084383	57.8121349322595	2.77246989132157	3906.93153213595
13	6309.6	57.9442272665223	3.28446267720814	58.0372394983804	3.24423501640627	3910.08458912799
14	5011.9	58.1542112010626	3.87656830838357	58.2832742926078	3.81370297788576	3913.49265511938
15	3981.1	58.4326261231346	4.59162698867465	58.6127531689918	4.49306102441184	3916.85571811089
16	3162.3	58.70766762588	5.46516573143412	58.9614982386204	5.31840371469052	3920.23877810235
17	2511.9	59.0153030773946	6.51213824339249	59.3735121229812	6.2969192418114	3923.7818460934
18	1995.3	59.3893081696236	7.79892283193948	59.8991913318124	7.48119612420005	3927.41491108423
19	1584.9	59.8138366378788	9.32941518615772	60.5370385884423	8.86523280314317	3931.14298207482
20	1258.9	60.2676453149278	11.2467022520585	61.3080531688326	10.5705301463958	3934.78605006562
21	1000	60.7940682391447	13.562493672547	62.2885219577705	12.5761298450043	3938.4791170563
22	794.33	61.3887596754381	16.4328008569372	63.5501121831618	14.9858330341381	3942.41218804637
23	630.96	62.0397969632273	19.9715678535227	65.175148099305	17.8441680885516	3946.25526003666
24	501.19	62.7747238175203	24.3308237636518	67.3249948784538	21.1858078239772	3950.2033340267
25	398.11	63.6222884965729	29.7982531921131	70.2547613108353	25.096599431797	3954.23141001653
26	316.23	64.6099620631192	36.5161384919855	74.2150629465714	29.4741847599953	3958.37948500605
27	251.19	65.8260118214874	45.0156290460698	79.7462895107726	34.3665754354487	3966.16662998639
28	199.53	67.3481938363584	55.3950535206366	87.2031603072613	39.4378874508529	3971.68273197247
29	158.49	69.2644144994798	68.5661969852034	97.4622105483426	44.7097555171326	3976.11581396127
30	125.89	71.7812517780498	84.9925758328539	111.248757537004	49.8169321517303	3980.37889495051
31	100	75.4428395712717	105.401347260246	129.618926267932	54.4061509066168	3988.16603893085
32	79.433	80.5730945670068	130.876135442793	153.689903365654	58.3817236410519	3992.50911591988
33	63.096	88.7194537177074	162.845160886738	185.444568246676	61.4180690658322	3997.38220690758
34	50.119	98.501488821959	200.067546359468	223.001269965981	63.7870783080441	4002.4053008949
