Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	100000	61.5580449402046	1.40501839321604	61.5740771229705	1.30750821378277	131.664642667579
2	79433	61.4669353327762	1.27926064677105	61.4802459901232	1.19227769591631	133.812678662155
3	63096	61.4465999251642	1.19340180237774	61.4581878208682	1.11264563370148	136.045719656518
4	50119	61.4578517926943	1.16696598741548	61.4689300101162	1.08780554555937	138.37376265064
5	39811	61.5052844898453	1.1903054788672	61.5168013416646	1.1087009578558	140.626806644951
6	31623	61.5128403416949	1.24239658385646	61.5253856239392	1.15706579735533	142.9048476392
7	25119	61.5538736573036	1.34864270439509	61.5686462362412	1.25514722903721	145.252892633272
8	19953	61.632971259189	1.5002646076939	61.651228212657	1.39441368402214	147.64593462723
9	15849	61.7560990160407	1.67858714742751	61.7789075695785	1.55696823666465	150.048981621163
10	12589	61.8621786182915	1.93505753584783	61.8924356530622	1.79163574998669	152.542024614868
11	10000	62.0090730021196	2.23498557943879	62.049337588104	2.06421135218608	155.145075608296
12	7943.3	62.125427759781	2.60808859912349	62.1801487653145	2.40392349065348	157.788124601623
13	6309.6	62.3198093120989	3.0660307054093	62.3951855272735	2.81658578866634	160.406172595013
14	5011.9	62.5195126906451	3.59854816229724	62.6229911131057	3.294241596748	163.159222588063
15	3981.1	62.7508272738396	4.2551266399255	62.8949316421686	3.87928184920666	165.932275581061
16	3162.3	63.0072039679251	5.04698854188601	63.2090171193766	4.5797151065712	168.99033157334
17	2511.9	63.3465683599355	6.01341702883269	63.6313516070705	5.42277246716454	172.023386565683
18	1995.3	63.7083416865673	7.17259898373534	64.1108335356349	6.42359181572712	175.116444557873
19	1584.9	64.0686078759471	8.59456285409205	64.6425016983007	7.64040105519704	178.144501550228
20	1258.9	64.5022620999206	10.2992953578946	65.3193485950067	9.07203015971269	181.257558542369
21	1000	65.0658973188513	12.4215174019032	66.2409623154214	10.8081001806842	184.475616534244
22	794.33	65.6154905297202	14.9928819755265	67.3066052285203	12.8708983578168	187.573673526422
23	630.96	66.2468864508577	18.1610782186249	68.6911546452368	15.3305573017659	191.011737517742
24	501.19	66.9868224224039	22.073600380509	70.5299809443409	18.2381644737903	194.339799509339
25	398.11	67.8633328121011	26.9100188012043	73.0039797014325	21.6299363410894	197.607859501088
26	316.23	68.852174468454	32.9386392876737	76.3254602813367	25.5662892814012	200.915923492736
27	251.19	70.0814714681195	40.4934540454374	80.9390663627077	30.0195548042318	207.623050475802
28	199.53	71.5334402548327	49.7695977584236	87.1438232792606	34.8283776842088	212.279135464047
29	158.49	73.4180333124548	61.4517570740957	95.7419764939203	39.9297281569605	215.792198455177
30	125.89	76.0966012814154	76.0839456014721	107.607897037673	44.9952351528444	219.335264446232
31	100	79.9095397652677	94.2104014034147	123.535963500875	49.6952922292963	222.94833143711
32	79.433	85.2872191872915	116.999700274472	144.785495202446	53.9097297363308	231.328488415952
33	63.096	93.6463379380744	144.58207432478	172.260305425447	57.0687222394322	235.121554406375
34	50.119	104.512843265507	179.024251487177	207.298376809816	59.7239788318751	239.119630396281
35	39.811	122.464932707191	219.479306827394	251.334092133181	60.8393826850705	243.252708385846
36	31.623	147.300552202095	266.91079237539	304.858694751356	61.1069304763621	247.715788374578
37	25.119	184.163128702616	321.519644152962	370.527920067818	60.1963646178782	251.668860364597
38	19.953	235.419843450741	380.913913981477	447.792264956709	58.2822972569024	255.971941353733
39	15.849	303.659696166964	438.423402209148	533.314438845281	55.2928509271272	258.909995346315
40	12.589	394.820246591669	495.956359180618	633.920923562553	51.4774536703516	262.333058337673
41	10	497.729378150612	534.80382859594	730.581733247602	47.0563961933155	275.652309304045
42	7.9433	620.066045696773	560.342363863395	835.742463780589	42.103545351126	280.955405290656
43	6.3096	740.806528630858	556.693777226161	926.661898679574	36.9237583092151	286.603510276396
44	5.0119	853.305896299624	534.260074108996	1006.75954400575	32.0509357687651	291.831606263196
45	3.9811	952.681269240771	496.359804781731	1074.23212415435	27.5201222113321	297.329707249315
46	3.1623	1034.48091285668	446.481188260221	1126.71922435674	23.3449916607573	303.297817234247
47	2.5119	1105.22020633147	397.018637702974	1174.36600051555	19.7593691177755	309.390930218863
48	1.9953	1151.75121718915	351.336585330944	1204.14627952284	16.9640936454002	315.789048202709
49	1.5849	1198.24181599772	314.856238119347	1238.91803614612	14.722517739626	319.527117193272
50	1.2589	1230.80909266226	279.003616693761	1262.0356733105	12.7721379366299	323.605194182975
51	1	1250.23172186463	247.94138604822	1274.58004427816	11.2171464554081	330.061314166675
52	0.79433	1273.04167265563	227.146652620531	1293.14759486864	10.1167238287948	334.094388156493
53	0.63096	1294.41850515136	213.391353159573	1311.8899100464	9.36129679809274	338.632472145035
54	0.50119	1315.50941071405	205.289330719171	1331.43107932193	8.86964653189226	343.370558133073
55	0.39811	1336.65040341111	202.420934300066	1351.89072619868	8.61138012053739	348.768661119444
56	0.31623	1359.72849225835	204.60360561781	1375.0360751962	8.5573169502453	354.641768104616
57	0.25119	1384.83296892199	211.442297312078	1400.88193539139	8.68112259936611	361.139889088209
58	0.19953	1408.67285776729	218.227435595584	1425.47621300984	8.80609143160375	368.398022069884
59	0.15849	1435.64672228307	233.44627888096	1454.50289663702	9.23586187989529	376.716175048883
60	0.12589	1473.76875484135	248.509868489253	1494.57401873684	9.57129323737004	386.319354024637
61	0.1	1500.86591036502	277.451992118448	1526.29554439051	10.4735328602101	397.522561996352
