Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	100000	52.4416163829362	1.09036890904022	52.4529506625971	1.19112530483648	1840.24327835383
2	79433	52.4096101935336	1.02933443245681	52.4197173782154	1.12515504475268	1842.22131034884
3	63096	52.4423492865407	0.993120969554966	52.4517520007836	1.08490256882504	1844.55435334295
4	50119	52.4588072152894	1.00730946201038	52.468477458405	1.10005339594697	1846.94239933692
5	39811	52.513525725826	1.05281446886621	52.5240783114073	1.14853735054022	1849.27544333103
6	31623	52.542362010995	1.13526984987188	52.5546253276196	1.23778317236503	1851.60848332514
7	25119	52.6180231335409	1.26115557412212	52.6331347333976	1.37300976523167	1854.07153331892
8	19953	52.7404243657526	1.42251529630038	52.7596049269503	1.54500779833323	1856.52457731273
9	15849	52.8254499135758	1.61531162933783	52.850140872391	1.75146088474651	1859.03762130638
10	12589	52.9548988498418	1.87182244539411	52.9879706297954	2.02441880330762	1861.53567030007
11	10000	53.0822384557455	2.17257391309957	53.1266798970208	2.34371953043974	1864.27371929316
12	7943.3	53.2536605862095	2.53505261037354	53.3139649394844	2.72541358503637	1866.99677128629
13	6309.6	53.4020253223458	2.97355000889304	53.4847483698283	3.18707222869057	1869.89482427897
14	5011.9	53.6257625243668	3.51261618831361	53.7406817858332	3.74765737542882	1872.86287927148
15	3981.1	53.8381348501672	4.15130642940249	53.9979454166137	4.40919114335456	1875.84593226394
16	3162.3	54.0726830771775	4.92994184651743	54.2969555479396	5.2093972305243	1878.90899125621
17	2511.9	54.4002121981909	5.8785321029709	54.7169098807111	6.16749756036597	1882.05204724828
18	1995.3	54.7137899956483	7.03103404249656	55.1637041486034	7.32270206533134	1885.2501072402
19	1584.9	55.0702622449606	8.42421820700276	55.7108717947218	8.69723877988252	1888.20316423275
20	1258.9	55.4200613753633	10.1633128101279	56.344264394218	10.391826684923	1891.57622622423
21	1000	55.852715241599	12.2694729163283	57.1844888540911	12.3896829467958	1894.61928021655
22	794.33	56.2784823269863	14.9119070176249	58.2205508727906	14.8404283769144	1898.16734620759
23	630.96	56.7770371617248	18.1839995793903	59.6178646847331	17.7587197890764	1901.50040819917
24	501.19	57.3215067669289	22.2887509432736	61.5023865930612	21.2479475040396	1904.79347019086
25	398.11	57.9141071812428	27.4130867991607	64.0743407180971	25.3300850013462	1907.99152918278
26	316.23	58.6580996861493	33.8896835405327	67.744249270825	30.0171496212075	1911.35459317429
27	251.19	59.5866645470229	41.9646668027488	72.8807508997071	35.1556090623118	1914.83265716551
28	199.53	60.8586916655835	52.139330015619	80.1391919457902	40.5875811410404	1918.30072115676
29	158.49	62.6687834476715	64.9372788656741	90.2453688855527	46.0184588518735	1924.25983114171
30	125.89	65.1698162024214	80.7978753935111	103.804631938863	51.1111042509819	1927.80289713277
31	100	68.9224813147716	100.599955968959	121.945313856423	55.5843944638986	1931.5909671232
32	79.433	74.5361726779395	125.109713533204	145.629946981505	59.214931978831	1935.40403511357
33	63.096	83.0652041791118	155.175155629604	176.008968720317	61.8398729990175	1939.46711310332
34	50.119	95.1035649136412	192.465450779302	214.680315359753	63.7044946864047	1943.78019409243
35	39.811	113.749095389578	236.408059570349	262.350199793644	64.305199236024	1948.12827108145
36	31.623	140.610437801639	288.39925544877	320.851095934194	64.0082301352898	1952.08634707146
37	25.119	180.311788796391	347.458135470721	391.458167731552	62.5731535748065	1956.21442106103
38	19.953	236.020713013045	412.114834893842	474.915165172439	60.1999663237511	1961.23751604835
39	15.849	310.80486617503	476.707937443933	569.078309602577	56.8963841026045	1966.24560803571
40	12.589	407.928892035773	533.822145172854	671.842290745739	52.6141565494142	1978.20683000551
41	10	521.440290266416	576.776745389495	777.54188976236	47.8845538468603	1988.0720129806
42	7.9433	648.741370391534	596.280955376637	881.144904883618	42.5872051928491	1993.67011396647
43	6.3096	778.670546182646	591.731054548647	977.994611646524	37.2321025339967	1999.48822395178
44	5.0119	898.960061234074	563.265802126019	1060.84756470411	32.0702250802087	2005.49633693661
45	3.9811	1002.7249942974	517.234911867706	1128.26830507797	27.2860087377453	2011.34944492183
46	3.1623	1087.51653740668	462.624886491808	1181.82655442098	23.0446938501988	2017.44755490643
47	2.5119	1152.58849104744	407.762615081701	1222.59174704939	19.4827546928733	2023.77067389047
48	1.9953	1204.17448772515	357.28134626013	1256.05977456233	16.5257441725233	2030.2537918741
49	1.5849	1245.06988813778	313.187281225844	1283.85563809529	14.1193624449052	2034.10186486439
50	1.2589	1271.15823377353	273.98931233724	1300.35125968535	12.1636161543638	2038.00493685453
51	1	1299.01326293475	248.359215519103	1322.54215706481	10.8237960805267	2044.92106583707
52	0.79433	1321.62233190342	227.099086247032	1340.99201457729	9.75011938929315	2052.00419681919
53	0.63096	1341.03559860017	212.121536759851	1357.70837187898	8.98842790971097	2056.56228180768
54	0.50119	1359.96155319857	203.544253216807	1375.10933717863	8.51222403020614	2061.40037179546
55	0.39811	1379.71427776257	199.920532553804	1394.12327561034	8.24477285865053	2066.64346778223
56	0.31623	1399.5458739017	203.122886369311	1414.20916420531	8.25795455495805	2072.45657276755
57	0.25119	1420.89042290987	207.610316259537	1435.97758942623	8.31282466054208	2078.92969375121
58	0.19953	1444.16567536955	215.25149078706	1460.11907124098	8.4774705050621	2086.23782973276
59	0.15849	1468.53860440183	227.560263587277	1486.06504103367	8.80832427507748	2094.44598071203
60	0.12589	1501.03667451035	247.36001595578	1521.28172135168	9.35782690374516	2104.03915768781
61	0.1	1525.85387355264	266.276437115257	1548.91354968519	9.89899080926684	2115.26236765948
