Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	1	3717.85693598254	1858.01729477415	4156.2830105893	26.5538164257944	71.1013188204864
2	0.79433	4021.21951349909	1641.6065683503	4343.39481293109	22.2070506913531	77.5304358042545
3	0.63096	4245.12634062542	1424.36985640699	4477.71449912929	18.5481795604278	81.6725107937967
4	0.50119	4412.55994567551	1225.24361376027	4579.5094919915	15.5184755468075	86.1395937825184
5	0.39811	4541.23120412165	1047.7170290238	4660.5248440701	12.9915094027825	91.056684770104
6	0.31623	4630.77100997142	913.556395410392	4720.02388070091	11.159978769612	96.6137897560736
7	0.25119	4711.72242344127	799.580646127243	4779.08541514174	9.63135452315339	102.810902740427
8	0.19953	4771.75244337365	707.034072743589	4823.84893636428	8.42823542534784	109.738030722938
9	0.15849	4821.42700458364	641.590127373386	4863.92806814321	7.57985162673489	117.810182702558
10	0.12589	4882.18308751453	591.78542961122	4917.9184310756	6.91129259772838	127.082351679148
11	0.1	4930.44457470186	577.081144301871	4964.10176681701	6.67577851073748	138.044553651471
