Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	100000	88.6538059457942	6.34390454138939	88.8804952366085	4.09300474329071	465.386618825012
2	79433	89.2718050827824	5.8855301579633	89.4656059498766	3.77194944243513	467.403654819919
3	63096	89.8703180450077	5.48858898304923	90.0377624918328	3.49484553876531	469.690694814145
4	50119	90.423531789606	5.19519921210743	90.5726514802309	3.28826030576669	472.032740808232
5	39811	91.0330336812011	4.96929003330736	91.1685640154425	3.12454759103447	474.364783802344
6	31623	91.5061196171275	4.84177148534938	91.6341239850112	3.02880962972447	476.686824796481
7	25119	91.9706542935551	4.81091321871308	92.0963958968135	2.99436842604131	479.128870790316
8	19953	92.481309199497	4.85546331391118	92.6086825046426	3.00538957880577	481.485915784365
9	15849	93.0861610194558	4.72193347537595	93.2058476120781	2.90392426801721	487.664031768767
10	12589	93.6734733664759	5.02269173758654	93.8080329440432	3.0692117341855	490.141072762513
11	10000	94.1828462375182	5.39378780644194	94.3371690920441	3.27771022601461	492.843123755691
12	7943.3	94.7371486036917	6.02440202813893	94.9285033346392	3.6385797295306	498.11922374237
13	6309.6	95.4225815182398	6.51175720300476	95.6445087052885	3.90388373931572	500.781269735649
14	5011.9	96.1495690222447	7.14028420395165	96.4143313085591	4.24711801738162	503.623322728473
15	3981.1	96.9755473248068	7.8567836565323	97.2932979622513	4.63188374816457	506.390376721487
16	3162.3	97.8537891635397	8.72178232931771	98.2417097808384	5.09335696633974	509.307429714122
17	2511.9	98.8523178074505	9.70416277473564	99.3274962488422	5.60666412211191	512.274485706631
18	1995.3	99.9427250565406	10.8288789124263	100.527672360536	6.18392198377481	515.326539698926
19	1584.9	101.077679763317	12.0927929230046	101.798492066505	6.82236025064408	518.418597691119
20	1258.9	102.447735231152	13.6059406932202	103.347278997271	7.56510171002135	521.555656683199
21	1000	103.830330211733	15.2822935979041	104.948968406031	8.37297662344455	524.762714675102
22	794.33	105.352297550715	17.2636747750817	106.757393495506	9.30613024625495	528.404781665906
23	630.96	106.914911854638	19.564295881975	108.690202181441	10.3697916858436	531.881846657127
24	501.19	108.842725480659	22.2716344535423	111.097995442268	11.564349573533	535.798920647238
25	398.11	110.415262188382	25.5067131832224	113.323089181068	13.0075577261093	539.600991637638
26	316.23	112.112740426154	29.5645464465857	115.945370638308	14.772806778885	543.598066627547
27	251.19	113.681117773919	34.602321895375	118.83062407847	16.929229384833	547.735139617102
28	199.53	115.473107941116	40.978089511802	122.528537400958	19.538312324613	555.518287597451
29	158.49	117.176758568444	49.1312989702353	127.06013256372	22.7479232949902	559.640361587044
30	125.89	119.100191063146	59.4828683791306	133.128010358026	26.5391724497048	564.062443575879
31	100	121.365900215979	72.2682075950915	141.25287807419	30.7719911081669	568.589525564449
32	79.433	124.40147798551	88.6167225881115	152.737196672054	35.4639664968954	573.276615552616
33	63.096	129.025381750604	109.170065255317	169.013763592612	40.2349976604937	578.173705540252
34	50.119	132.750598944643	134.314847797633	188.847027668065	45.3355875258074	582.87579052838
35	39.811	141.101311822538	165.500737142476	217.485802278549	49.5500156298196	587.512877516673
36	31.623	151.468568649566	203.724245184895	253.862749069066	53.3692712227358	591.979961505394
37	25.119	167.482983557435	250.498691191454	301.330622522723	56.2333824574927	596.677045493535
38	19.953	188.35785593377	305.546145979752	358.938893427624	58.3477090860414	601.589136481133
39	15.849	220.064589705445	371.323691784729	431.636082508015	59.3469430075062	606.486228468769
40	12.589	258.315794387068	449.202550168087	518.179486961164	60.0987661981186	611.968329454928
41	10	320.203736366918	535.97829542231	624.342186582919	59.1450935036603	617.585435440747
42	7.9433	401.304894954595	626.928953353951	744.369217034127	57.3761950705203	632.256706403705
43	6.3096	503.101542066324	735.109099289184	890.78423284613	55.6126397481861	638.60382538768
44	5.0119	634.194408774231	829.411905601924	1044.09130696252	52.5973353234397	651.766068354449
45	3.9811	792.681954884372	905.390561113808	1203.36060669829	48.7974050375244	658.068185338538
46	3.1623	969.3670110356	971.138287497993	1372.1450271486	45.0522990777386	664.660306321894
47	2.5119	1185.55911436097	990.491979260545	1544.87047179491	39.8775423442435	671.632434304291
48	1.9953	1368.0694826075	1020.88944513695	1706.99424967806	36.7312683290049	678.839569286095
49	1.5849	1579.21895199725	1002.48449065909	1870.53672841762	32.4072846064918	686.421709266952
50	1.2589	1754.20154646057	994.598500051334	2016.54388544088	29.5524018182699	694.083849247607
51	1	1916.16518637863	890.542043673308	2112.99648675507	24.9267542295823	701.127983229822
52	0.79433	2037.47959999317	828.517692355714	2199.49191563296	22.1285529670135	709.190129209467
53	0.63096	2139.6171879153	710.448772048086	2254.48423559075	18.3684786490683	717.632287188153
54	0.50119	2249.14006354451	610.894077993054	2330.62708299033	15.195640687275	722.459377175965
55	0.39811	2316.15879112927	607.392918845184	2394.47649885913	14.6944459875132	731.781548152429
56	0.31623	2335.32572719754	500.959419191474	2388.45276105419	12.1072469628186	737.808662137212
57	0.25119	2500.27271853602	481.783540406318	2546.26766991649	10.9067813391754	744.410784120543
58	0.19953	2424.66320663401	389.392774283271	2455.7317439551	9.12360571235521	751.567914102473
59	0.15849	2443.62546075949	464.582720301207	2487.39673081608	10.76461753548	759.985071081222
60	0.12589	2580.55551556545	507.91361384001	2630.06520984543	11.1348184292649	769.482245057244
61	0.1	2782.94457586177	382.97043506983	2809.17191828055	7.83545258614928	780.824458028608
