Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	100000	88.7677928683968	6.53153483534391	89.0077636952637	4.20824030512735	127.602364677835
2	79433	89.4070459487789	5.99238808651997	89.607636841212	3.83443846344299	129.579398672843
3	63096	90.0287485035905	5.59132028640378	90.2022085077073	3.5538438496313	131.831441667158
4	50119	90.6092253795663	5.27084296330187	90.7624014084513	3.32920962594442	134.218483661131
5	39811	91.1690475326844	5.04838284061992	91.3087147939469	3.16945213907156	136.450524655496
6	31623	91.6591428329247	4.9057368692259	91.7903302047474	3.06363426509803	138.902569649305
7	25119	92.170784690426	4.85165074543177	92.2983860390013	3.01313267833462	141.409615642975
8	19953	92.6602657238391	4.9004963089008	92.7897607933441	3.0273646795313	143.92666763662
9	15849	93.25272594624	4.75649487186014	93.3739532196778	2.9199265300974	150.169780620858
10	12589	93.8274482701967	5.05209272978377	93.9633635511563	3.08208676104692	152.746825614351
11	10000	94.3613275214082	5.41537343492397	94.5165932577034	3.28458786847721	155.438875607555
12	7943.3	94.9158459990748	6.02958043212893	95.1071693507256	3.63486113329366	160.799979594019
13	6309.6	95.5662069540538	6.55274222019479	95.7905963139877	3.92249262759024	163.512027587172
14	5011.9	96.3268597354215	7.1641664769498	96.5929044381471	4.2534571022459	166.419079579832
15	3981.1	97.1231014854039	7.86577714285759	97.4410965260816	4.63014830382539	169.361136572404
16	3162.3	98.0163275237303	8.73528044649385	98.4048046881761	5.09278337010727	172.363191564825
17	2511.9	98.9712861318515	9.68878492525947	99.4443966843822	5.59114970093374	175.445248557043
18	1995.3	100.07068956782	10.8375317717044	100.655824498544	6.18097233246529	178.597305549085
19	1584.9	101.255935802383	12.1430719832613	101.981462690074	6.83851146677652	181.764365541089
20	1258.9	102.57048213737	13.6284264320384	103.471917991821	7.5684961290605	185.086426532702
21	1000	103.991419905966	15.3144697554949	105.113026775709	8.37754221525612	188.343486524478
22	794.33	105.511508906362	17.3006628087186	106.920491232122	9.31189368584513	192.120557514942
23	630.96	107.119216461212	19.6159827586963	108.900474355502	10.3771931259121	195.867625505482
24	501.19	108.833562202973	22.3513944328891	111.105036316465	11.6055933522933	199.779699495605
25	398.11	110.41708234924	25.5723670630265	113.339657806635	13.0396885262225	203.506768486195
26	316.23	112.142331589227	29.6304935702255	115.990812927073	14.8005785900024	207.428839476293
27	251.19	113.723513038932	34.6769591976627	118.892930475754	16.9576899823833	211.44591346615
28	199.53	115.225178321219	41.0401589927666	122.315724129436	19.6045534218475	215.59298945568
29	158.49	117.056373496946	49.12413021234	126.946345931561	22.765949335741	219.925071444743
30	125.89	119.00821940334	59.4137231677856	133.0148367146	26.530227766807	224.387153433477
31	100	121.224909066176	72.4994911863125	141.25032672662	30.8818590772259	229.034241421744
32	79.433	124.259230595352	88.5779504672605	152.598852214325	35.483097083943	233.811327409683
33	63.096	128.410423905163	109.770300602261	168.934176121395	40.5251291508391	238.713419397307
34	50.119	132.920572784661	134.978562127627	189.438884349133	45.4401349944226	246.896574376646
35	39.811	141.298780518616	165.647643987353	217.72571583212	49.5355532579439	251.113649365999
36	31.623	151.474423056658	204.306190005036	254.333482095302	53.4464340507012	255.535730354834
37	25.119	167.795065295709	249.750163584579	300.882581995228	56.1047542887161	260.107814343291
38	19.953	190.344810188762	304.773192042763	359.329716769614	58.0133352419909	264.874903331255
39	15.849	218.879213190527	371.959941165059	431.581171737622	59.5253868724797	269.816993318778
40	12.589	261.874478286686	446.889117971507	517.965371563848	59.629940195035	275.509101304406
41	10	320.297238528678	537.15022029139	625.3964184165	59.1928040587002	281.591212289051
42	7.9433	394.062527144288	623.628681332476	737.697775162584	57.7117618578594	296.267487251996
43	6.3096	509.091363087646	732.118078478448	891.723554026366	55.1864908612539	302.504601236249
44	5.0119	627.568992313432	827.658543912782	1038.68258165097	52.8289128761441	315.676845202993
45	3.9811	786.629256714137	908.84628591767	1201.99299454904	49.1229901447672	322.043961186917
46	3.1623	980.441574525518	989.912892695815	1393.26710152198	45.2754135801353	328.656086170223
47	2.5119	1177.2086648428	1042.41321709215	1572.40120699184	41.5247518790986	335.478210152999
48	1.9953	1376.78454726841	1060.15646037495	1737.66147740917	37.5971165389584	342.720346134714
49	1.5849	1581.42005156814	1010.75596472676	1876.83696674285	32.5844571364488	350.232484115748
50	1.2589	1746.87785071368	980.129852818951	2003.05685233868	29.2957025709009	357.909624096365
51	1	1904.02058470132	882.794696539439	2098.71886235496	24.8746868272443	370.350857064954
52	0.79433	2016.34304671564	882.554448410659	2201.03194807526	23.6390213579311	378.448008044511
53	0.63096	2296.11999032334	699.997982977607	2400.45082976827	16.9544317788952	383.870108030821
54	0.50119	2283.30253361122	777.181963907041	2411.94574255264	18.7973549443112	388.922201018066
55	0.39811	2353.13282913594	622.04572205983	2433.96281645596	14.8073104742424	394.434302004149
56	0.31623	2478.83214684076	514.589601175975	2531.68151035031	11.7276604355333	400.451411988957
57	0.25119	2613.67012776963	452.25941849594	2652.51015425268	9.81703248992839	406.918534972629
58	0.19953	2560.23442538838	518.104519853989	2612.13181260765	11.4402234490712	414.185667954282
59	0.15849	2642.2822068108	472.383338247688	2684.17608935833	10.1361707914451	422.727827932715
60	0.12589	2604.97724959931	472.334142664273	2647.45274051425	10.2772066565767	432.375003908358
61	0.1	2621.12813894901	441.026267829388	2657.97232673815	9.55102210351306	443.837215879419
