Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	100000	86.6582853473506	5.45503492993146	86.8298095438981	3.60194785364697	468.325671817591
2	79433	87.0980762865957	4.99688671968437	87.241296240456	3.28350567632916	470.417707812309
3	63096	87.6064377090981	4.65753825482258	87.7301578174417	3.04322716572602	472.749750806422
4	50119	88.0248866432921	4.42594198040153	88.136085861458	2.87844071808339	475.176796800294
5	39811	88.4311079272981	4.25236416402016	88.5332900678208	2.75304687448418	477.673842793989
6	31623	88.8274525162015	4.19549571693852	88.9264780862758	2.70418294342705	479.955884788228
7	25119	89.2580347261092	4.19920522484373	89.3567573700371	2.6935330676227	482.467932781886
8	19953	89.6557601948977	4.30928247978199	89.7592627622105	2.75179003962149	484.964976775581
9	15849	90.0751953222916	4.50934516050404	90.1879981268325	2.86594915941057	487.572027768999
10	12589	90.6015315866195	4.7738387123908	90.7272123560133	3.01615328357987	490.219076762316
11	10000	91.1688591285597	4.93268893009853	91.3022031217445	3.09696716042113	494.343154751904
12	7943.3	91.6886454135839	5.53157814077802	91.8553539784451	3.4524711208377	499.674251738444
13	6309.6	92.3120018410158	6.05325294857981	92.5102564862685	3.75173335105255	502.411301731533
14	5011.9	92.9653739026545	6.67128214436956	93.2044352502076	4.10456269073609	505.398356723992
15	3981.1	93.7563238596488	7.40260858616958	94.0481093778891	4.51447039992082	508.365409716501
16	3162.3	94.5419351355148	8.23960607640689	94.9003087848625	4.98090910208047	511.307466709073
17	2511.9	95.4704252052685	9.2173661798862	95.9143468317899	5.51463333209833	514.389523701291
18	1995.3	96.5227384246936	10.3154400296609	97.0723819425863	6.10007925144754	517.536580693346
19	1584.9	97.5900013159291	11.5920737274117	98.2760628543125	6.77404793325222	520.658640685463
20	1258.9	98.8853157063469	13.1006660808099	99.7493514470384	7.5467929200327	523.905699677265
21	1000	100.166666186136	14.7847129767721	101.251907402529	8.39629779542958	527.597765667944
22	794.33	101.583361004875	16.77191981302	102.95861560482	9.37524105613264	531.344838658483
23	630.96	103.15657330274	19.0575405785741	104.902185241622	10.467025820349	538.702975639906
24	501.19	104.669893564156	21.788485432139	106.913632040812	11.7589805163403	542.495043630332
25	398.11	106.255227458203	25.1018356671911	109.180014270273	13.2919125677282	546.297112620732
26	316.23	107.827730054841	29.2115403987	111.714517683444	15.1581258328658	550.184183610918
27	251.19	109.324014193442	34.3190756219537	114.584200616461	17.4281548985011	554.316262600486
28	199.53	110.957357902305	40.8807156010606	118.248755514445	20.2256273561276	558.47334058999
29	158.49	112.551289825408	49.0972404463116	122.793859214563	23.5678424286004	562.745416579204
30	125.89	114.489431305206	59.4499371130686	129.004360016773	27.4411081883339	567.297503567711
31	100	116.923972184788	72.6108032196172	137.635547790776	31.840640490504	572.364595554918
32	79.433	119.876253583224	89.113007705588	149.370158718151	36.6261893069183	577.351687542327
33	63.096	124.577309185408	110.059644254833	166.230656791631	41.4594583255637	581.56876553168
34	50.119	130.207658967719	134.582672737586	187.260594506816	45.9465867424801	585.980847520541
35	39.811	137.573276340336	166.564836741917	216.032986374479	50.4451908566567	590.417932509338
36	31.623	149.601543002484	204.898107574663	253.700327466092	53.8658270166567	595.040015497668
37	25.119	164.972113002235	251.532938391631	300.806610905329	56.7404597226499	599.692102485923
38	19.953	187.005148299021	306.963322521401	359.440407945068	58.6498060611475	604.649195473408
39	15.849	218.629008728822	374.553500131545	433.69225024035	59.7276475308941	609.986293459933
40	12.589	262.770961390208	452.286251107428	523.078800077719	59.8441084005524	615.118387446975
41	10	322.986575823882	535.106449371666	625.027391657027	58.8851075951873	621.320501431317
42	7.9433	402.612912170012	624.498450631976	743.031272483033	57.1902046006182	636.131781393922
43	6.3096	515.202187597929	724.542025095977	889.04130401004	54.5843993982482	642.603897377581
44	5.0119	637.252658800006	813.829390313797	1033.63882845325	51.9379977737983	655.146132345915
45	3.9811	801.79371967542	884.145890618347	1193.56069171545	47.796472942878	669.740400309068
46	3.1623	974.548384091667	938.926549893959	1353.26553899501	43.9334874515127	676.492523292021
47	2.5119	1171.12052759858	985.491981966603	1530.59391632243	40.0804409827954	683.569656274153
48	1.9953	1355.19915884344	976.891477751904	1670.59322380832	35.7858417726262	690.746787256032
49	1.5849	1545.81761593389	959.662475450486	1819.47909263044	31.8325159781339	698.118926237419
50	1.2589	1721.18702603347	917.763717808283	1950.58325131516	28.0672334711141	705.7310652182
51	1	1869.36117970568	865.121913055321	2059.84153386592	24.8342340597543	718.007296187206
52	0.79433	2033.0558895062	803.96942988811	2186.24863500254	21.5762582743705	723.044385174488
53	0.63096	2126.00083262516	703.681660286999	2239.43015504997	18.3139456982418	727.631470162907
54	0.50119	2271.55126736906	518.364138711298	2329.94560893337	12.8546827195774	732.55356315048
55	0.39811	2327.60554544011	595.075696978722	2402.47011642148	14.34105410324	737.755658137346
56	0.31623	2374.61336144136	374.824011333601	2404.01365549534	8.96992071690065	743.992776121599
57	0.25119	2408.75606868342	506.615990310586	2461.45598377415	11.8774843352112	750.639900104816
58	0.19953	2392.39322057455	429.198573303734	2430.58773492689	10.1707465813169	757.897032086494
59	0.15849	2574.0382684726	542.714933847857	2630.62967879991	11.9059672401828	766.154183065647
60	0.12589	2541.33416642241	447.501121879873	2580.43341311293	9.9867781656034	775.711364041517
61	0.1	2611.25770164884	371.904565263736	2637.60872573708	8.10575412631676	787.063571012856
