Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	100000	64.1229046527201	6.70323886729592	64.4723220646958	5.96787316235401	1805.82362944073
2	79433	65.0692737651757	6.44288870471228	65.3874697720342	5.65475771614358	1807.84166443564
3	63096	65.9746436788501	6.1405593013491	66.2597923109077	5.31745854753521	1810.10970642991
4	50119	66.8176720374936	5.83193108060031	67.0716983282735	4.98820711262106	1812.49774842388
5	39811	67.5570061919666	5.53253521140813	67.7831692346033	4.68175132781028	1814.82079341802
6	31623	68.2184006203416	5.29303817342623	68.4234348473004	4.43666752967897	1817.18883841204
7	25119	68.8739441184624	5.08105130206868	69.0611125074548	4.21924971716468	1819.5418814061
8	19953	69.4125903511987	4.97504069213459	69.5906511620039	4.09957653756096	1821.97492539996
9	15849	69.9587180032095	4.93541728503427	70.1325927684839	4.03539199614404	1824.45797039369
10	12589	70.5002265982767	4.99186961789082	70.6767338852779	4.05015029170828	1826.98101838732
11	10000	70.9926867479045	5.16947511701936	71.1806507744315	4.16475672426481	1834.48615836837
12	7943.3	71.5695037512966	5.40780890155957	71.7735206348598	4.32107184734966	1837.03920536192
13	6309.6	72.128708886151	5.74703279668704	72.3573011626976	4.55555850855012	1839.70725335519
14	5011.9	72.7547128249315	6.20815768072979	73.0191033910103	4.87723283929174	1842.42030234834
15	3981.1	73.4135407883116	6.77996357928116	73.7259511787638	5.2764721569033	1845.21835334127
16	3162.3	74.120876093644	7.46257779359772	74.4955994687929	5.7492332439814	1848.10140733399
17	2511.9	74.8653527403428	8.2650282746175	75.3201947243644	6.29986116775072	1850.99946232668
18	1995.3	75.7321634710978	9.21992155228228	76.291333304926	6.94124720870029	1853.94251731925
19	1584.9	76.7099899140023	10.3959094585333	77.411223256556	7.71783215989569	1856.88057131183
20	1258.9	77.6690314830924	11.7072359772442	78.5464055558781	8.5717986660289	1859.94362830409
21	1000	78.764275745932	13.2831692527278	79.8764904034837	9.57255067937184	1863.02668329631
22	794.33	79.9420933779491	15.1374037200982	81.3626405977214	10.7222730101951	1866.27474528811
23	630.96	81.1389335574054	17.3588880154256	82.9750416207496	12.0758339756077	1869.52280627991
24	501.19	82.2932118566745	20.0308197335559	84.6959648205611	13.6802151389576	1872.99086927115
25	398.11	83.5739608347997	23.372741640306	86.7807120355735	15.6244652401876	1878.78997925651
26	316.23	84.7562356132937	27.4936623418182	89.1039894971155	17.9722919094955	1882.36304524749
27	251.19	85.9889833328247	32.7538999877247	92.015885688389	20.8522422704669	1886.32611523748
28	199.53	87.3204509153169	39.4368531777015	95.8129768695966	24.305536160412	1890.20918822768
29	158.49	88.7191226046445	47.8113444978457	100.78197943298	28.3205324575205	1894.27226321742
30	125.89	90.4472371741702	58.3732024900887	107.648193117161	32.8375521632051	1898.42034120695
31	100	92.6960458166096	71.6929190912144	117.185457962387	37.7190616192834	1902.68842119617
32	79.433	95.8124685603677	88.2694524541184	130.274807112432	42.6535373991789	1907.08649918507
33	63.096	100.183906238433	108.279903976158	147.517296186844	47.2240479031581	1911.60458517366
34	50.119	106.421736720525	134.114127719978	171.208017629734	51.5674292585183	1916.49767516131
35	39.811	113.452334528021	165.32415404143	200.508124821346	55.5404603056708	1921.26076414928
36	31.623	125.150641011291	204.258419793693	239.549963477671	58.503891007681	1925.45884213868
37	25.119	140.481480952341	250.471349306242	287.17754667427	60.7133075727446	1929.61691612819
38	19.953	162.897057693586	304.569858180885	345.39578734772	61.8602127645101	1934.29000511639
39	15.849	192.05536385962	369.593741016889	416.515061175596	62.5418469786181	1939.4731011033
40	12.589	238.884677610324	446.586607140951	506.463707361796	61.8571247438938	1944.39119009088
41	10	297.477574701003	530.386150989984	608.113785908493	60.7132493191521	1950.14929607635
42	7.9433	373.7150117723	625.900684936667	728.981877297481	59.15926882482	1956.03240706149
43	6.3096	476.549356250892	720.387984946147	863.746570353775	56.5146612091204	1970.94668402384
44	5.0119	610.952629102881	810.691337352543	1015.12736120458	52.9976159705427	1983.20991099288
45	3.9811	766.299061825073	884.490937124196	1170.27281862343	49.095227032613	1997.16116895765
46	3.1623	941.068060670849	942.563501193216	1331.92907040743	45.0454878831813	2003.36428194199
47	2.5119	1128.66334158347	979.603546676888	1494.49123359634	40.9557735116054	2009.99740692524
48	1.9953	1319.51825114223	982.979556909277	1645.41095912207	36.6843922355969	2016.82553390801
49	1.5849	1505.23107242109	958.885223342261	1784.70766595711	32.4985723212798	2024.18366788943
50	1.2589	1679.03280494829	956.893223839496	1932.56197880494	29.6791355881488	2031.37180187128
51	1	1846.73266656313	867.603890434331	2040.38183986433	25.1643637614696	2043.25102284129
52	0.79433	1978.15051637758	815.928160547658	2139.81733533953	22.414688860868	2050.97416582179
53	0.63096	2070.79575132891	702.156091166147	2186.59969360731	18.7305383839255	2059.16231580111
54	0.50119	2193.62190149794	647.996550114461	2287.32957303745	16.4571558384557	2064.0004047889
55	0.39811	2251.88513631571	656.229118255432	2345.55394796324	16.2468213120242	2069.19350077579
56	0.31623	2321.99001887143	578.645116511091	2393.00393200694	13.9932158999838	2074.95160976125
57	0.25119	2418.28406329997	467.695826831485	2463.09504429817	10.9458603505198	2081.19472274549
58	0.19953	2424.50224119132	445.90824641871	2465.16638013865	10.4212330465809	2088.42785772723
59	0.15849	2500.39490949669	407.868963620033	2533.44267646249	9.26459378930267	2096.61600870655
60	0.12589	2594.15032607867	519.790058394441	2645.713064393	11.3303184438534	2106.17918668241
61	0.1	2566.29555454659	536.656244394415	2621.80716261382	11.8113198705872	2117.36739565416
