Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	100000	47.6939679005275	1.31799167656117	47.7121753450419	1.58292861784036	128.823386674752
2	79433	47.7165495941828	1.29558103718065	47.7341349078205	1.55529041369454	130.881423669556
3	63096	47.7287563950825	1.31009627690327	47.7467332838163	1.57230462087738	133.24446666359
4	50119	47.750336018429	1.40957511352434	47.7711365980918	1.69086261380743	135.677512657447
5	39811	47.8340524448448	1.5522436237727	47.8592314351548	1.85863010697269	138.200556651077
6	31623	47.9177814692257	1.70049387727024	47.9479453194723	2.03244493415044	140.62360164496
7	25119	48.0300847833673	1.97753823171585	48.0707780439983	2.35770215883276	143.131650638627
8	19953	48.2163754924363	2.28218566674414	48.2703556755604	2.70991106391619	145.709695632118
9	15849	48.3871080818362	2.63271862976281	48.4586776120315	3.11436421188277	148.252744625698
10	12589	48.6002603767913	3.0328233155924	48.6947977298962	3.57082325139521	150.890793619037
11	10000	48.7729164631401	3.53002546590969	48.9004954996411	4.13966431496086	153.773846611758
12	7943.3	49.1042776544069	4.18784944088698	49.2825340957689	4.87466440774386	156.531895604795
13	6309.6	49.4312984971794	4.88920658896274	49.6725035828356	5.64870290325305	159.409948597529
14	5011.9	49.7399993468743	5.76282791804269	50.0727243181358	6.60876784407416	162.413005589947
15	3981.1	50.1434026410735	6.80949744045974	50.6036568225701	7.73348540044683	165.441062582301
16	3162.3	50.5519082465205	8.07068057446424	51.19210205002	9.07079851035459	168.314115575048
17	2511.9	51.0378027233296	9.6377667689273	51.9398099256991	10.693576394732	171.53717556691
18	1995.3	51.5443779182811	11.5139662933598	52.8147168390327	12.5919884494605	174.900238558419
19	1584.9	52.088186169941	13.7994170946501	53.8850911721095	14.8381648718049	178.263298549928
20	1258.9	52.7456869069585	16.6521251247902	55.3118500726432	17.5212146259807	181.351355542132
21	1000	53.3983895517015	20.1553434884565	57.0756154399839	20.6791281483648	184.839419533325
22	794.33	54.1960717879728	24.5003223349437	59.4767180648297	24.3262144918391	188.49748852409
23	630.96	55.0428130359103	29.8787667759364	62.6294816436874	28.4943381809905	191.935553515409
24	501.19	56.0838176673826	36.577450531461	66.9574827150013	33.1120928993646	195.738624505807
25	398.11	57.2753728301848	44.8750851536903	72.7615392936929	38.0785943228369	199.616696496016
26	316.23	58.7974572310531	55.1818426395857	80.6360758837973	43.1830910276109	203.429765486389
27	251.19	60.7467898275829	67.9757154709638	91.1639751664326	48.2142967199091	209.578879470864
28	199.53	62.9352321988906	83.7606373802171	104.769689444364	53.0798975276312	213.101943461969
29	158.49	65.7885270787029	103.278279671539	122.452167588401	57.5027598097434	217.420025451067
30	125.89	69.0513479737563	127.465708379118	144.96756695752	61.5544918428836	221.578102440569
31	100	73.9603317803508	157.185714586366	173.716664563553	64.8016864506382	226.146187429036
32	79.433	79.5642886141588	194.004845279703	209.68632767703	67.7007324221299	230.269261418626
33	63.096	87.1144719896229	240.670667137756	255.951755709085	70.1014930439451	234.682345407484
34	50.119	97.7221346961081	294.143472308665	309.951605757032	71.6221666400596	239.795438394575
35	39.811	108.62284469084	364.355279269091	380.202172429337	73.3994485531121	245.818552379368
36	31.623	125.731739146577	447.865657590301	465.179661504688	74.3186895800421	253.146685360866
37	25.119	144.949397425631	553.866645329676	572.519509381822	75.3343446319656	260.429819342478
38	19.953	174.727719440042	682.617959065726	704.625470714602	75.6424341332139	265.512916329644
39	15.849	207.304280238243	835.31801025302	860.657448035024	76.0622621952233	271.940035313417
40	12.589	262.489579323714	1034.86943852668	1067.64017068021	75.7673612343338	275.06809030552
41	10	336.742639343995	1262.00218151746	1306.15661821513	75.0597360857503	278.571157296675
42	7.9433	437.223555911747	1542.69093363845	1603.45244849181	74.1764126561037	284.634268281368
43	6.3096	563.571969777896	1899.91403677193	1981.73830569083	73.4780504883842	290.407375266792
44	5.0119	762.280889172096	2288.28393244662	2411.91117363189	71.5758781024875	296.300483251913
45	3.9811	1036.99699546158	2750.21785032914	2939.22795864244	69.3405498636995	302.733602235671
46	3.1623	1385.13024778467	3284.11271143274	3564.26459521766	67.1315897825118	307.006684224883
47	2.5119	1889.15633172824	3863.37530452843	4300.5325704323	63.9417760246345	311.199759214296
48	1.9953	2553.32065830687	4446.75114371036	5127.67414313995	60.1355948001401	317.912886197347
49	1.5849	3387.58937462866	5026.18762556138	6061.21471476167	56.0205087218817	323.455988183352
50	1.2589	4242.23861320222	5632.74921700631	7051.55672125163	53.0151999517205	328.854088169723
51	1	5525.26626182736	5821.73546176027	8026.28002569091	46.4966570601883	338.973276144175
52	0.79433	6760.99031598491	5944.447568497	9002.63555562768	41.3228184678707	344.28637413076
53	0.63096	7996.99653982418	5841.85791403652	9903.49723813518	36.1483710369369	349.814474116803
54	0.50119	9140.58855581753	5551.99491627952	10694.6251312113	31.274501987966	355.552583102316
55	0.39811	10138.8791131843	5117.67085148254	11357.2630776908	26.7826837548892	361.665697086882
56	0.31623	10965.3615044278	4608.38706952275	11894.3845702639	22.7954417926694	368.368818069958
57	0.25119	11620.811662241	4089.16437396144	12319.2746932014	19.3860962788263	378.47200704445
58	0.19953	12152.6788505344	3591.7635188512	12672.3466027242	16.4652150684977	386.435153024345
59	0.15849	12550.5927521413	3180.7314039009	12947.3715747198	14.2212067053833	398.903385992866
60	0.12589	12878.6606993535	2804.45288037271	13180.4725775407	12.2849254555795	412.251632959165
61	0.1	13148.0691946638	2496.09372109783	13382.9072854956	10.7493892224247	423.574839930576
