Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	100000	47.3366413367232	1.23131242838465	47.3526529704289	1.49003178863485	456.158446848311
2	79433	47.3561175225062	1.21686607211469	47.3717492799546	1.47195240048645	458.201481843152
3	63096	47.3826133902773	1.26396235819671	47.3994689056262	1.52804020309867	460.504523837338
4	50119	47.4125771960245	1.35576247940526	47.4319572468767	1.63792628264407	462.807566831523
5	39811	47.4678097760089	1.51271488606274	47.4919074291387	1.82529709920568	465.230614825406
6	31623	47.5607017866039	1.71467296303284	47.5916007064736	2.06475070553973	467.583654819465
7	25119	47.7203033793615	1.94420556691359	47.7598920633696	2.33303631262247	469.966701813448
8	19953	47.8226416279198	2.25558994887708	47.8758053539564	2.70039618853298	472.444746807192
9	15849	48.0244439444781	2.59864790600188	48.0947001977941	3.09730799845428	475.082797800531
10	12589	48.2359788094953	3.08325111275665	48.3344193006847	3.65737927970529	477.805847793656
11	10000	48.4555444198835	3.5983718468498	48.588970610371	4.24706351644096	480.463895786945
12	7943.3	48.7692330765814	4.210353478469	48.95064015201	4.9342342805238	483.151943780159
13	6309.6	49.0618391832139	4.92640218749068	49.3085540505139	5.73396986231164	485.989997772993
14	5011.9	49.4076009375921	5.81260084589797	49.7483402637926	6.70977036538994	488.918050765601
15	3981.1	49.7974871661705	6.84076410765467	50.2651547460216	7.82186020267963	491.886107758107
16	3162.3	50.2448238061902	8.14452925158641	50.9006451437017	9.20738203504316	494.709159750979
17	2511.9	50.6645753640403	9.68177660509103	51.5813531719498	10.8185400959882	497.857218743031
18	1995.3	51.1999512771247	11.5839728390811	52.4940323990881	12.7485167214029	500.760271735702
19	1584.9	51.7836775150218	13.8982630145773	53.6163312042342	15.0236051047566	504.028330727451
20	1258.9	52.385423633243	16.760637527229	55.0013779786788	17.7419947561386	507.116388719654
21	1000	53.0551885804967	20.2997788034753	56.806109308613	20.9376642530561	510.519450711062
22	794.33	53.8299173677761	24.6846654400797	59.219867542154	24.6346644216716	514.142519701915
23	630.96	54.6964571517735	30.1290232004097	62.4456600891257	28.8477529574361	517.600582693184
24	501.19	55.7544628119807	36.8910325365885	66.8543820932343	33.4913945164647	521.308650683822
25	398.11	56.9546536653808	45.2588299100122	72.747469089769	38.4722953843942	525.191723674018
26	316.23	58.5338318667458	55.6433585965588	80.7613325107363	43.5498280980802	528.834788664821
27	251.19	60.429969355211	68.6027692544689	91.4227605449193	48.6242138819274	534.798903649763
28	199.53	62.7635488120213	84.5357082506211	105.287933918912	53.4079550079864	538.181964641221
29	158.49	65.6229542573764	104.178786979558	123.124294036546	57.7928841689038	542.030033631506
30	125.89	69.4420963777367	128.239665092048	145.834208786058	61.5643452008357	546.033107621399
31	100	73.9898429242977	158.840746772372	175.228079060312	65.0233558941059	550.061182611229
32	79.433	79.7362703610161	195.708696395813	211.328575105293	67.8328763817128	554.339261600428
33	63.096	86.0252512016316	241.367333765008	256.239211779018	70.3835253945911	558.692344589437
34	50.119	96.3395400617822	296.415406437477	311.678360097089	71.9950459021286	563.61043357702
35	39.811	109.594055613245	367.399199856351	383.396699360918	73.3903191224015	568.343520565071
36	31.623	126.862510785011	451.321639394896	468.812669228097	74.2997977145953	573.066610553146
37	25.119	146.045984929186	557.144991993804	575.968724687124	75.3113798342914	577.879699540994
38	19.953	176.649007449407	685.53279550107	707.926610278476	75.5502915224104	589.950923510517
39	15.849	213.805969852016	846.632254826973	873.211983230742	75.8270295622987	598.074073490008
40	12.589	274.210923947523	1036.36592407606	1072.02889858352	75.1797837015651	601.862141480444
41	10	346.007727388152	1268.12921402307	1314.48585038831	74.7383924310217	606.995236467484
42	7.9433	448.737945948829	1561.94721620922	1625.129179591	73.9709631011157	610.353300459006
43	6.3096	593.019659562023	1878.131182858	1969.53016139653	72.4764954883532	616.211408444216
44	5.0119	795.077529835874	2284.21635833347	2418.63445979919	70.8082946341289	622.279520428895
45	3.9811	1067.88306083498	2741.83842743299	2942.45682955018	68.7202296047817	628.577638412994
46	3.1623	1444.05069839056	3249.06342881266	3555.51621905598	66.0371795817007	632.725715402521
47	2.5119	1940.94037721214	3830.94602607866	4294.57762796532	63.131047071155	636.553787392856
48	1.9953	2606.02018261772	4410.16241487309	5122.58467160574	59.4206275377641	642.171887378672
49	1.5849	3481.30354074786	4926.84472558127	6032.68375541198	54.7550108932528	647.904996364197
50	1.2589	4379.15521347482	5471.40866457338	7008.08912318275	51.3272429497864	653.268095350657
51	1	5554.78105279825	5595.65693950422	7884.60329561026	45.2100370678493	664.972311321106
52	0.79433	6740.49926098999	5658.71274721199	8800.87269779913	40.0137759715263	670.245408307793
53	0.63096	7900.82549762587	5522.68176685536	9639.66064972682	34.9535716980777	675.863511293609
54	0.50119	8959.96430615719	5191.86640185026	10355.5027450275	30.0902194620205	681.54661727926
55	0.39811	9868.13784140813	4758.35458368986	10955.459041097	25.743075168104	690.104775257653
56	0.31623	10603.8836296807	4272.93863553711	11432.4254913328	21.9474523711114	699.757956233281
57	0.25119	11200.1545718057	3778.29042055636	11820.2766860344	18.6414475283255	706.95109021512
58	0.19953	11637.9124252347	3339.37204922523	12107.5353107302	16.0102549151602	717.994293187239
59	0.15849	12024.2454523233	2916.41254513221	12372.8711636031	13.6334932199859	729.932515157098
60	0.12589	12313.276094882	2622.89329804643	12589.5328524028	12.0250433000055	739.560692132789
61	0.1	12543.4023059581	2318.09038077123	12755.8019905664	10.47044537603	750.843902104301
