Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	100000	47.4633337763063	1.33795330614193	47.4821879467498	1.61469445953786	128.723382675005
2	79433	47.457712157528	1.30404509169251	47.4756250809608	1.57397987601829	130.841420669657
3	63096	47.4629649664611	1.33009049293095	47.4815983737584	1.60522275456662	133.579472662744
4	50119	47.4583437926101	1.41817912922512	47.479528510508	1.71163801459999	135.952517656753
5	39811	47.5641317402325	1.54688446390831	47.5892790421002	1.86272134500425	138.420560650522
6	31623	47.6550756828087	1.72489105588651	47.6862819633582	2.07293454956352	140.823606644455
7	25119	47.7838272734266	1.99554379884789	47.8254779793134	2.39139147825546	143.33665363811
8	19953	47.9037357107273	2.28722394855224	47.9583078145386	2.73358286791222	145.899699631639
9	15849	48.1201347553108	2.66339867942154	48.1937865434417	3.16802848160681	148.537751624978
10	12589	48.3112098229616	3.07144800879091	48.4087470136227	3.63775777892352	151.205796618242
11	10000	48.553054049165	3.57416038288101	48.6844295431681	4.21014912766616	154.123851610875
12	7943.3	48.825463123007	4.20918471457154	49.0065616539	4.9272183532763	156.931904603785
13	6309.6	49.1158216560019	4.95288057029546	49.3649163160214	5.75828857823424	159.879957596342
14	5011.9	49.4784189709152	5.82052748700011	49.8195993971083	6.70930799746465	162.848013588848
15	3981.1	49.8510382823601	6.88645900950319	50.324440737269	7.86510353829522	165.92107258109
16	3162.3	50.3254231643933	8.16732242800038	50.983854035549	9.21817383060183	168.794123573836
17	2511.9	50.7661356825208	9.7189778450542	51.6880940109883	10.8379134790139	171.987182565774
18	1995.3	51.3067269343393	11.6380014482047	52.6101065045802	12.7802458221993	175.370244557233
19	1584.9	51.8265846726447	13.9170429671279	53.6626402982531	15.0310958696586	178.618305549032
20	1258.9	52.4705371024194	16.8056685077993	55.0961682679513	17.7596240556245	181.816365540958
21	1000	53.1629721845931	20.3578385766868	56.9275258817231	20.9534752567641	185.469432531735
22	794.33	53.9093847721472	24.7511694985222	59.319829383234	24.6610586786426	189.242504522209
23	630.96	54.8364157415363	30.2302676999826	62.6171029080012	28.8671081410411	192.775566513288
24	501.19	55.8308928276375	37.036493905636	66.9984363605104	33.5590694829935	196.878643502929
25	398.11	57.0849720544277	45.4257130756936	72.9533374348976	38.5112331880333	200.69671349329
26	316.23	58.5823373648394	55.8304437318521	80.9254514873001	43.6221688283208	204.309782484167
27	251.19	60.5109309976384	68.7840643415288	91.6123369287157	48.6611648508031	210.303896469034
28	199.53	62.8572763784332	84.7313432414847	105.500889670282	53.4304206051913	213.841957460101
29	158.49	65.7675732270752	104.500778061058	123.473828415358	57.815737378906	217.825032450045
30	125.89	69.1726270974084	129.211652560334	146.562285383824	61.8379165035008	222.043108439395
31	100	74.0360753270187	159.080469237042	175.464914277771	65.0427240328426	226.201186428897
32	79.433	79.8671123297792	196.348630392504	211.970611851996	67.8653886975759	230.419266418247
33	63.096	86.9705969390922	241.147237707753	256.351077598713	70.167983257935	234.687344407471
34	50.119	97.9678091612234	297.170864619492	312.902883352881	71.7542511619089	239.590435395092
35	39.811	109.816368074319	368.360094752407	384.381053257099	73.3995065397092	244.218522383408
36	31.623	126.935673543554	453.181810380021	470.623435962628	74.3525053036636	248.846606371723
37	25.119	148.405925931334	561.294528454245	580.582351199389	75.1899325756246	253.639695359621
38	19.953	178.312025256407	687.427318803354	710.17708847034	75.4585062809938	265.930926328589
39	15.849	219.891743767488	846.552650224741	874.644938577729	75.4392210501356	273.984072308257
40	12.589	272.056608232501	1043.22177763996	1078.11245954457	75.3836617408076	277.017128300599
41	10	347.518036947951	1271.53659419001	1318.17073870136	74.714045587093	280.270186292386
42	7.9433	454.242068414635	1550.14399281799	1615.32729042362	73.6677176801325	283.883256283264
43	6.3096	610.247630177577	1900.06775558395	1995.66020302735	72.1944614157269	289.706365268562
44	5.0119	797.191156716231	2286.8001287325	2421.76971843269	70.7811629694493	295.754475253292
45	3.9811	1073.67160643776	2755.7554671465	2957.52580938501	68.7135832394879	302.18759523705
46	3.1623	1446.37716230783	3266.55707857684	3572.45042558271	66.1170338303655	307.085685224683
47	2.5119	1961.12325714329	3841.04551356094	4312.7294219502	62.9524992434001	316.688861200437
48	1.9953	2623.45196796275	4397.98891499542	5121.01618086003	59.1834279298341	325.002015179449
49	1.5849	3460.94182260018	4955.48230094372	6044.41255494606	55.0692953989241	333.680179157539
50	1.2589	4510.85657378333	5284.79176085866	6948.15450208787	49.5174443650836	338.673269144932
51	1	5567.63321060378	5591.53083809466	7890.73866511759	45.122700149982	350.547492114953
52	0.79433	6753.7427189895	5654.32932719954	8808.20531406554	39.936548223955	357.500617097398
53	0.63096	7909.55996330819	5506.99197102908	9637.84723795447	34.8473742018054	363.113724083226
54	0.50119	8958.64651534115	5182.60831087073	10349.7234886127	30.0495314405603	369.036833068272
55	0.39811	9868.04761132381	4753.38789418299	10953.2214499625	25.719878200424	375.23994605261
56	0.31623	10601.4581865256	4277.64169016317	11431.9348366789	21.9738587721985	384.618122028933
57	0.25119	11210.5710729375	3783.53883329372	11831.8244529077	18.6494061362332	391.806252010784
58	0.19953	11645.3155921111	3328.87280711555	12111.7616144729	15.9528545679727	399.759398990705
59	0.15849	12021.0751913098	2919.75041695526	12370.5776442507	13.6519783974859	411.762621960399
60	0.12589	12314.1384974205	2615.11811860671	12588.7588628871	11.9896145479212	421.405799936053
61	0.1	12577.104970212	2338.92287645377	12792.7373792215	10.5347645292642	432.839014907187
