Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	100000	59.4530390478351	1.3309741734573	59.4679354297239	1.28246542219472	739.947702131812
2	79433	59.4607442146467	1.14131732437345	59.4716966951049	1.09962694866231	741.904738126871
3	63096	59.423058334102	1.06286957027398	59.4325630736341	1.02471076411506	744.191780121096
4	50119	59.4556997038511	1.06404122270827	59.4652201795145	1.02527704174265	746.538822115171
5	39811	59.4543353593762	1.09745515463167	59.4644633444346	1.05749072895871	748.790864109485
6	31623	59.5441338433941	1.17250918232682	59.5556769161653	1.12809007746273	751.057906103761
7	25119	59.6216654557256	1.28496553893666	59.6355106304182	1.23464693230866	753.404951097835
8	19953	59.6783379261843	1.43583475791126	59.6956082059968	1.37824554537358	755.776995091847
9	15849	59.7669019294251	1.63827284737968	59.7893510933509	1.57014364420812	758.23903908563
10	12589	59.8869217561397	1.86418907563686	59.9159294206117	1.78295501087628	760.726085079351
11	10000	59.9834053791598	2.17636346521229	60.0228746297053	2.07793747671783	763.363133072693
12	7943.3	60.151249247931	2.54881018681305	60.2052258483856	2.42636287202838	766.100185065783
13	6309.6	60.3142506999841	3.00521757867555	60.3890732682305	2.85246027358045	768.807234058948
14	5011.9	60.5202370640752	3.54262935881103	60.6238345625363	3.3500587878127	771.594286051912
15	3981.1	60.758935834442	4.21344930451354	60.904855625603	3.9669389629266	774.431341044749
16	3162.3	60.9937365558678	5.00645630216002	61.1988603141598	4.69240322178809	777.353395037371
17	2511.9	61.2824540083419	5.98642517997839	61.5741541210272	5.57928185935062	780.450450029552
18	1995.3	61.6251581306448	7.18427794178244	62.0425173906714	6.64954164323052	783.642509021493
19	1584.9	61.9937170525899	8.62360507085118	62.5906344305167	7.91928221247144	786.729568013699
20	1258.9	62.352620813198	10.3817549897798	63.2109971361176	9.45306975459854	789.916628005652
21	1000	62.8836384678887	12.5780324422	64.1292358217153	11.3110755543328	793.288689997139
22	794.33	63.3718680418776	15.2660142411322	65.1846979737392	13.5442513956476	796.865753988107
23	630.96	63.9677736076285	18.5656273129541	66.60749640874	16.1845291016257	800.177816979745
24	501.19	64.6081883264508	22.6364899642503	68.4589561469333	19.308708019821	803.51487697132
25	398.11	65.4100618572631	27.6970831299759	71.0324194018462	22.9496286631119	806.826940962958
26	316.23	66.2837956066706	33.9367215088325	74.4663858851424	27.1120479421946	810.269001954267
27	251.19	67.1826913712064	41.6740674500596	79.0584715113497	31.8117237851464	817.197133936776
28	199.53	68.3612990076269	51.4163505095331	85.5389285748269	36.9477985360232	822.011221924621
29	158.49	69.7390363526231	63.6053035873428	94.38838824681	42.3662965905509	825.56828591564
30	125.89	71.4325581517218	78.9420985848871	106.46344580693	47.8589114585123	829.245352906357
31	100	73.5947934491321	97.9110085657358	122.485751094484	53.0696519498124	837.600510885262
32	79.433	76.7947695814654	122.159121864321	144.292368785506	57.8446671597956	841.467579875499
33	63.096	81.6395415077926	152.339146146893	172.835847515401	61.8128525025397	845.584657865104
34	50.119	88.0861103995222	188.718461943881	208.263824808297	64.9787450368246	850.021740853901
35	39.811	97.5267850287723	236.156082505872	255.501798628832	67.5605513945414	854.293817843115
36	31.623	112.65377703417	294.081416387222	314.92023266913	69.0396610868989	858.835901831648
37	25.119	133.524383497924	363.170344762587	386.938574328636	69.8133805692749	863.192984820647
38	19.953	166.690354738344	449.297254013142	479.221970308692	69.6450258671158	868.090073808283
39	15.849	217.802298875138	552.597865286522	593.971583591771	68.4884930575512	872.722161796588
40	12.589	286.218197692935	666.134027039622	725.02096429732	66.748225895586	885.518397764281
41	10	387.880084097813	797.398186116723	886.73266933274	64.0602237549477	890.995499750453
42	7.9433	521.975193236395	932.195760281914	1068.38524785854	60.7537206205685	896.902608735539
43	6.3096	711.521473096478	1063.91529947353	1279.91350142548	56.2263275194323	902.964719720233
44	5.0119	927.819289242946	1162.37314088417	1487.26593188314	51.4027397322121	909.096833704751
45	3.9811	1179.57919958906	1220.64352504086	1697.46213605115	45.9801519647065	915.263947689181
46	3.1623	1444.56472105473	1233.89075763444	1899.80357802896	40.5026586249705	921.85106967255
47	2.5119	1702.56997620757	1203.86703004234	2085.19551838825	35.2636774638981	928.348188656146
48	1.9953	1917.22802724996	1108.88987490084	2214.81377617405	30.0443087074154	934.950310639477
49	1.5849	2131.75334572987	1040.28571977746	2372.03851271505	26.0121607242835	941.482431622985
50	1.2589	2287.02533727675	926.330920833688	2467.50357005586	22.0497910261579	948.399564605521
51	1	2369.5634789918	814.724307041228	2505.71482364924	18.9744485141323	960.070777576054
52	0.79433	2464.68953343968	729.816145776755	2570.471961116	16.4944826932221	964.18785556566
53	0.63096	2540.22830041262	660.601551473094	2624.71983800669	14.577220300428	968.739938554167
54	0.50119	2604.75095723863	606.455916503304	2674.41887667161	13.1064973153223	973.467026542232
55	0.39811	2666.68390695478	565.753829454015	2726.0375006873	11.9780570458789	978.599121529275
56	0.31623	2720.84164801778	544.590128953928	2774.80768381201	11.3184728891736	984.501230514373
57	0.25119	2771.91547073538	536.214132357859	2823.30320239298	10.9483715930136	990.948347498096
58	0.19953	2832.27941934985	538.946410591759	2883.1007514068	10.7738461166836	998.255483479647
59	0.15849	2887.35033924506	553.1924624571	2939.86630343251	10.8459634604804	1006.54763945871
60	0.12589	2954.11942735095	574.860329225413	3009.53252003852	11.0119171973205	1015.89481143511
61	0.1	3030.9421621005	607.989948475111	3091.32045693183	11.3426740888678	1027.05201540694
