Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	100000	58.6259748094607	1.1972069140587	58.6381976765537	1.16988025884397	128.928386674487
2	79433	58.6853682002498	1.10384104043795	58.6957486181193	1.07757653609296	131.01042666923
3	63096	58.6841293313473	1.05247418909682	58.6935664046496	1.02746459103891	133.387467663229
4	50119	58.6945190619399	1.02939990290459	58.703545310931	1.00476543067099	135.794511657152
5	39811	58.7624686208014	1.08157829192676	58.7724215088356	1.05446343893453	138.126554651264
6	31623	58.8081891746025	1.14639924245333	58.8193619926205	1.1167750759585	140.523600645212
7	25119	58.8627809759366	1.26640399062067	58.876402431607	1.232500578519	142.950644639084
8	19953	58.9650439638009	1.42391099767731	58.9822340385838	1.38333209279922	145.42769263283
9	15849	59.0331399217403	1.62587636626691	59.0555254229285	1.57762758729504	147.969738626412
10	12589	59.140206430322	1.86623545972336	59.1696446787728	1.80743272117384	150.561785619868
11	10000	59.2627710406467	2.19150938845037	59.3032776903248	2.11780596267199	153.193836613223
12	7943.3	59.43442989761	2.53450746580181	59.4884458138564	2.44182794604029	156.005887606123
13	6309.6	59.6028942138066	2.98655027465664	59.6776715464441	2.86854745427756	158.762936599162
14	5011.9	59.7995357242395	3.5245901728317	59.9033155069151	3.37311616689004	161.609992591974
15	3981.1	60.0357444093004	4.16701306974598	60.1801844854457	3.97046734883817	164.502043584672
16	3162.3	60.3072341255419	4.95478187715345	60.5104317562113	4.69681475088234	167.439100577257
17	2511.9	60.5813218422444	5.92306450811666	60.8701835821193	5.58408772282939	170.491155569551
18	1995.3	60.9020209944261	7.1064557373716	61.3152336238943	6.65555734798005	173.733213561366
19	1584.9	61.2812037858037	8.5228782639769	61.8710383890538	7.91780273236725	177.025274553054
20	1258.9	61.6548849888594	10.2612491189207	62.5029445423976	9.44915224959344	180.382338544578
21	1000	62.1622471490643	12.3897177868196	63.3849357297014	11.2720560010123	183.779400536002
22	794.33	62.6782700311601	15.0157988108873	64.4518405325097	13.4724059493208	187.336467527021
23	630.96	63.2690792892294	18.2716212470714	65.8546014876958	16.1083088466454	190.828532518204
24	501.19	63.903935048416	22.2511260064726	67.6670194646409	19.1979380222242	194.400596509186
25	398.11	64.6042234027597	27.2244480349538	70.1061784173234	22.8507296376557	198.04266349999
26	316.23	65.4838579864281	33.4425564787634	73.5291795182155	27.0533664797594	201.924738490189
27	251.19	66.4389826649287	41.2413938662855	78.1984078200112	31.8295660559109	209.007871472306
28	199.53	67.6432589270789	50.8998149494793	84.6546020022957	36.9605213482723	213.781959460252
29	158.49	69.2218346583045	63.036814898042	93.6231938461387	42.3225377915013	217.18902045165
30	125.89	71.3774784909248	78.2699423943776	105.928883304515	47.637066506217	220.91609044224
31	100	74.7077683830838	97.4545595785894	122.795121399172	52.526558377754	228.339227423499
32	79.433	79.0117622711857	121.203487852588	144.682908613391	56.8999328013178	232.21629941371
33	63.096	85.5694036207822	150.377735744206	173.019034338915	60.3588366524656	236.373375403215
34	50.119	95.4268235184984	186.454518414116	209.455403568088	62.8967792901436	240.900459391785
35	39.811	110.135490155917	231.569223917057	256.425684472972	64.5640039542185	245.062537381277
36	31.623	131.179472302529	284.981077253089	313.723235266215	65.2829395646947	249.634619369733
37	25.119	163.837943105036	348.634151278334	385.212464801509	64.8291822435068	253.771698359288
38	19.953	210.507715843489	420.104189239948	469.894699104594	63.3852585845024	258.318780347808
39	15.849	275.142501468514	498.034818655363	568.98337120467	61.0812654640189	263.040869335886
40	12.589	367.947454277802	576.578287766854	683.979422960715	57.4557328787855	275.707105303906
41	10	483.387043564238	654.649605667051	813.774624872145	53.5581925591664	281.304208289775
42	7.9433	620.467716919174	708.451476254655	941.745019602595	48.7878538823752	286.786309275934
43	6.3096	780.30744505827	743.113834947506	1077.54251911642	43.6014284765292	292.538417261411
44	5.0119	942.023966898482	736.723111206655	1195.8971932391	38.0276858623973	298.570527246182
45	3.9811	1089.19856858997	711.150032531146	1300.80278696945	33.1409728436358	304.762642230548
46	3.1623	1223.89874149167	650.212755567696	1385.89492997407	27.9800785953245	310.894756215066
47	2.5119	1330.49672825294	582.073489165678	1452.25035399592	23.6286971357053	317.166871199231
48	1.9953	1424.6934739407	524.238145150197	1518.08337304633	20.2018777041888	323.603991182978
49	1.5849	1480.39546233156	457.791686103584	1549.56250366271	17.1834955109675	330.391117165843
50	1.2589	1541.24412442896	411.441851447858	1595.21717901032	14.9468057790759	334.52319115541
51	1	1565.46876646314	359.201406866485	1606.15008933365	12.9229913898983	341.412323138017
52	0.79433	1599.23655344423	324.445051728349	1631.81559787348	11.4682321193731	345.654397127307
53	0.63096	1626.89883218817	297.908585005354	1653.94961688533	10.376720663702	350.196481115839
54	0.50119	1648.82470619637	281.709829581557	1672.71735204918	9.69564658449192	355.173573103273
55	0.39811	1678.14154417222	270.536450828252	1699.80852259997	9.15796976644035	360.52567608976
56	0.31623	1702.79521241907	269.191298859328	1723.94184670449	8.98342384955546	366.337782075086
57	0.25119	1731.31604979117	274.034379980825	1752.86910682913	8.99421645196456	372.814900058733
58	0.19953	1756.63487287146	281.000711261803	1778.96809311403	9.08834113485798	380.097038040347
59	0.15849	1802.68537198059	299.716071504132	1827.43105858215	9.43969970181555	388.444191019273
60	0.12589	1823.84953593389	313.232914463129	1850.55180646999	9.74506420940723	397.891366995421
61	0.1	1869.96817513114	336.235988213355	1899.95674050045	10.1933400927734	408.988570967403
