Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	100000	56.9729428864652	1.18827567976663	56.9853333782962	1.19483579811553	437.315304895885
2	79433	56.9728901463753	1.09677464002269	56.9834460720124	1.10285430031933	439.23834089103
3	63096	56.9820178777931	1.05061390102719	56.9917024749583	1.05627924295416	441.366377885657
4	50119	56.9940707311958	1.07361360278131	57.0041818174827	1.07916934407785	443.439415880423
5	39811	57.0316077870335	1.13062669355434	57.0428137760945	1.13571501443387	445.557455875076
6	31623	57.093751575943	1.22399640006942	57.1068703064953	1.22813941846907	447.725495869602
7	25119	57.1760630289205	1.37045552765374	57.1924849245106	1.37306210923811	449.92853686404
8	19953	57.2635884361823	1.56448281252752	57.2849558528168	1.56497299679876	452.271582858124
9	15849	57.3442544016965	1.79445698177238	57.3723242404029	1.79235517918212	454.619625852196
10	12589	57.5053421091034	2.0731363117055	57.5426994956956	2.06468715595501	457.017667846141
11	10000	57.6363411951185	2.44503058376413	57.6881790396928	2.42912693113046	459.510713839847
12	7943.3	57.8217073350121	2.84676120670603	57.8917428352593	2.81859208662684	461.968759833641
13	6309.6	58.016006248748	3.35891030146421	58.1131590904164	3.31351289012927	464.546806827132
14	5011.9	58.2540671939105	3.96915586462404	58.3891303489812	3.89783834371788	467.229855820358
15	3981.1	58.4830043017354	4.71635094185503	58.672870718617	4.61062948840266	469.88290581366
16	3162.3	58.7778333091868	5.60389524470142	59.0443674742658	5.44613425739714	472.605955806785
17	2511.9	59.1043084306284	6.68740927802861	59.4814317070017	6.45532807178567	475.444010799619
18	1995.3	59.4729195003613	8.01823457660303	60.0110009883346	7.67840930989729	478.362064792252
19	1584.9	59.8834924899064	9.59419129724193	60.6471860801204	9.10224802495319	481.310117784809
20	1258.9	60.3150423403692	11.5590081352719	61.4126615739117	10.8488447562139	484.333175777176
21	1000	60.8435218373347	13.9923470174087	62.4317221020357	12.9512771490642	487.341228769582
22	794.33	61.4327706970077	16.9548524960364	63.729524858369	15.4289918082261	490.459288761709
23	630.96	61.9970494193464	20.5946317111755	65.3281944647473	18.3758313142993	493.612346753749
24	501.19	62.7011014205142	25.1479670350029	67.5562607412459	21.8545838282352	496.825404745636
25	398.11	63.5277178101632	30.7949569493188	70.5981607669642	25.8617117247527	500.108468737347
26	316.23	64.3908673170613	37.8262555409798	74.6793773547617	30.4320005103032	503.486529728819
27	251.19	65.4228163125072	46.6011785915187	80.3231893065674	35.4625650987283	510.308659711594
28	199.53	66.4373659753405	57.4515419201287	87.8328142936433	40.8515269625957	515.049743699624
29	158.49	67.8325063956763	71.1560440748643	98.3078406451057	46.3698135494671	518.602807690654
30	125.89	69.2239411201344	88.2145581881902	112.132788695107	51.8779281508868	522.360879681166
31	100	71.8111179112117	109.79436468662	131.193136911183	56.8132658336404	529.198007663903
32	79.433	74.3693880798202	136.663077944424	155.587926127353	61.4458276891894	532.446063655703
33	63.096	79.0823647041694	170.282052548716	187.749827769314	65.0889091612766	536.274134646038
34	50.119	85.1564902806436	212.005315127546	228.46855687216	68.116078492354	540.427213635552
35	39.811	91.8764858183854	264.608093638878	280.10485869677	70.8521184754051	544.435288625433
36	31.623	102.426457409083	329.3782053666	344.936488861206	72.7259184041896	548.653364614783
37	25.119	121.476473873212	410.433685874505	428.033111108476	73.5127733335375	552.871444604134
38	19.953	145.615363776864	509.444850811896	529.847044142575	74.0483975642143	557.4395275926
39	15.849	182.723933999444	624.644367191141	650.821497432171	73.6944959803611	568.800739563916
40	12.589	236.092421487759	774.883802764117	810.052183053742	73.0550140546845	573.668827551625
41	10	319.130101702519	952.54311455442	1004.58071198769	71.4776277034284	577.091892542983
42	7.9433	442.402765957864	1158.3662464841	1239.97280950867	69.0971635120976	588.035097515354
43	6.3096	612.638550347242	1372.85499556532	1503.34853983373	65.9511123557624	593.303193502053
44	5.0119	826.51038276454	1612.53769727595	1812.014690325	62.8624737741686	598.721291488374
45	3.9811	1117.50151869055	1842.44176202387	2154.85528301213	58.7618109564463	604.419398473988
46	3.1623	1482.32254152132	2043.29266720667	2524.3464581873	54.0407000413126	610.202503459387
47	2.5119	1908.96047035465	2201.69915297727	2914.03658823932	49.0734150313735	616.040614444647
48	1.9953	2374.28650437472	2243.17843201777	3266.35666802106	43.3735834411454	621.668715430437
49	1.5849	2810.38931201616	2256.47847833704	3604.16192870034	38.7611902234521	627.796831414965
50	1.2589	3204.44668274524	2205.75941287607	3890.22533152623	34.5413199588938	634.209948398774
51	1	3584.70661598757	2082.23615155203	4145.57944243447	30.1508708147876	642.484105377884
52	0.79433	3911.7027277452	1959.50412828893	4375.05138930168	26.6078376188651	646.447176367878
53	0.63096	4191.48590691475	1842.03399961118	4578.38873006525	23.7240675402617	650.755256357001
54	0.50119	4422.96682407101	1734.45758851644	4750.89240597964	21.4125292965015	655.293340345543
55	0.39811	4629.67960799364	1653.83265107775	4916.20745193315	19.6579469852826	660.28143333295
56	0.31623	4822.22906028007	1608.5170601836	5083.42603395695	18.4467896347079	665.824533318955
57	0.25119	5006.02889983824	1581.19188906037	5249.80886662038	17.5291136940816	671.972647303432
58	0.19953	5171.2698245107	1582.59330858698	5408.01564146029	17.0159823148532	678.9957772857
59	0.15849	5333.67111105957	1619.00615127867	5573.97779317694	16.8853746778377	687.028928265419
60	0.12589	5531.63351932395	1664.64679251777	5776.67883268128	16.748234091087	696.357099241867
61	0.1	5739.41294699775	1787.0214037495	6011.1817867724	17.2944791622129	707.295303214251
