Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	100000	56.9716790556214	1.1480829048129	56.9832458602795	1.15445786166625	132.365660665809
2	79433	56.9754251369686	1.11039256731767	56.9862443155527	1.11649460397533	134.413695660638
3	63096	56.9302498241178	1.07250882742432	56.9403514234095	1.07926737221535	136.721739654811
4	50119	56.9321933375836	1.08997568396381	56.9426262585388	1.09680260462517	139.119781648756
5	39811	57.0226776741719	1.15349341211084	57.0343433045765	1.15885985037972	141.422824642942
6	31623	57.0722792958548	1.24336595870629	57.0858215578205	1.2480376688994	143.760867637039
7	25119	57.1269816012581	1.3832280103474	57.143725347575	1.38704412784869	146.143913631022
8	19953	57.2270618936052	1.57281273778771	57.2486711887941	1.57430504722072	148.671958624639
9	15849	57.3599650367886	1.79243717854001	57.3879640696603	1.78984900861455	151.190009618282
10	12589	57.4866454029746	2.0793592904546	57.5242395407895	2.07155232167641	153.738051611849
11	10000	57.6044534890189	2.43187481396996	57.6557636050323	2.41740812563747	156.426102605062
12	7943.3	57.7968141026113	2.84296262815579	57.866692984107	2.81604755464709	159.164152598149
13	6309.6	57.9947321356842	3.36032066907168	58.0920021215378	3.3161143804023	161.982204591034
14	5011.9	58.1976081329218	3.96527204932605	58.3325378739713	3.89780212200139	164.935260583578
15	3981.1	58.4626153548739	4.70629352622374	58.6517398965019	4.60243743360482	167.933316576009
16	3162.3	58.756247824016	5.58619129917949	59.0212012042132	5.43101423473391	170.971373568339
17	2511.9	59.1023720882125	6.69135045478313	59.4799508856745	6.45931015976074	174.089430560466
18	1995.3	59.4499153240333	7.97400611391135	59.9823074376055	7.63947657216315	177.312491552329
19	1584.9	59.8942538374131	9.60738399491133	60.6599000161239	9.11294416074594	180.620551543977
20	1258.9	60.3481727036017	11.5660123514498	61.4465181306282	10.8494445811636	183.973611535511
21	1000	60.8423093415339	13.9697349215524	62.4254763681411	12.931300537268	187.376677526919
22	794.33	61.4186398612872	16.9538571452544	63.7156385396254	15.4315096352178	190.789739518302
23	630.96	62.0218154216328	20.5869071241051	65.3492642126261	18.3625587490778	194.19280050971
24	501.19	62.7227464715916	25.1208668628745	67.5662702602551	21.8264219994275	197.605866501093
25	398.11	63.4955268592258	30.7672931953218	70.5571276463091	25.8528997819795	201.14393149216
26	316.23	64.336935105655	37.7692573608906	74.6040080718352	30.4152365609759	204.756996483038
27	251.19	65.3879866306729	46.4853182090183	80.2276361648949	35.4096022449895	211.974133464817
28	199.53	66.4707268673427	57.3390465081692	87.7845304409545	40.7817457970526	216.885224452417
29	158.49	67.7780574585094	71.0970227389746	98.2275506932514	46.3690469931248	220.643290442929
30	125.89	69.5364037945541	88.1284198868969	112.258317484454	51.7253257484958	224.65136543281
31	100	71.5924034971677	109.626079958692	130.932614904044	56.8530549185134	231.653499415131
32	79.433	74.5691089317056	136.57633612311	155.607350712238	61.3659673068395	234.876554406994
33	63.096	77.7711485510563	169.927570099211	186.878919696077	65.4077405559159	238.699625397341
34	50.119	83.9914083145236	213.15247967753	229.103767457755	68.493388567333	242.782702387033
35	39.811	92.1376226118067	264.254218444888	279.856451536273	70.7778489610014	246.725773377077
36	31.623	103.425357694693	329.879746509724	345.712961532534	72.5925177603166	251.103857366024
37	25.119	121.963484622314	407.415324166086	425.27912945097	73.3344505916325	255.326935355361
38	19.953	146.634169466079	508.364129734842	529.08947074769	73.9101543742138	259.825018344005
39	15.849	180.455871812519	628.693198460046	654.079092665053	73.984759191229	271.406232314765
40	12.589	237.638696857929	772.928750227294	808.63527203076	72.909835695745	276.039318303068
41	10	322.27547025814	945.575425300746	998.986668410941	71.1796213769563	285.327491279617
42	7.9433	451.250597720613	1142.9996377678	1228.85120087036	68.4561387383448	296.320696251862
43	6.3096	610.429706644209	1365.49140584639	1495.72430821796	65.9134315709715	301.468789238864
44	5.0119	833.623505617882	1600.08545606752	1804.21772960955	62.4810781645946	306.956892225008
45	3.9811	1123.13364539454	1829.52181685283	2146.76017844511	58.454458971952	312.479991211064
46	3.1623	1485.24355412827	2012.33476798973	2501.08769009402	53.570084751863	318.053096196993
47	2.5119	1897.67469174924	2141.31331536822	2861.18715750627	48.4519959541056	323.856202182342
48	1.9953	2326.8750451848	2205.23108488791	3205.83711589651	43.4625221983817	329.714310167551
49	1.5849	2785.72167303227	2183.13367132424	3539.25385730826	38.085335229171	335.797422152193
50	1.2589	3197.21467750396	2148.00730986782	3851.76804822049	33.8946688351568	342.170541136102
51	1	3553.3343629103	2025.83255068298	4090.25459085933	29.6883970598021	350.529700114998
52	0.79433	3863.49695554974	1906.41888841344	4308.25274370499	26.2637529311062	354.277767105535
53	0.63096	4125.70424627687	1783.49287552468	4494.69491342786	23.3782541390962	358.530843094797
54	0.50119	4350.58256368353	1683.98517503338	4665.12322593512	21.1599850227542	363.108931083238
55	0.39811	4546.36494408606	1608.3323637406	4822.46484663912	19.4818578626627	368.082022070682
56	0.31623	4720.93394880756	1553.66521229081	4970.01941051404	18.2164394312954	373.560125056851
57	0.25119	4889.54495194108	1538.02908628034	5125.73734279243	17.4612108719547	379.693238041367
58	0.19953	5091.90866757924	1541.26895974587	5320.06051518634	16.8405299956145	386.766369023509
59	0.15849	5249.6391758792	1572.23864121142	5480.02242895446	16.6726747834275	394.884520003012
60	0.12589	5439.33632731651	1637.55733054782	5680.49062075592	16.7548573219066	404.187690979524
61	0.1	5601.9846387327	1699.79629962389	5854.1898972285	16.8792411477536	415.175894951782
