Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	100000	57.3876034104392	1.2297356623007	57.4007776514656	1.22758013295711	1323.26669465907
2	79433	57.3779485644927	1.13159873982872	57.3891060844961	1.12983174704994	1325.48473465347
3	63096	57.3614103128717	1.09478545370379	57.3718567615801	1.09340009090355	1327.94277964727
4	50119	57.379699764856	1.10972049771521	57.3904297308189	1.10795936002947	1330.55082964068
5	39811	57.417323010807	1.15881877194345	57.4290156860934	1.15620876506438	1333.05887663435
6	31623	57.4646263901867	1.25252189941883	57.4782750025805	1.24864393413822	1335.64692262782
7	25119	57.5230044838322	1.37995899750883	57.5395544967268	1.37424435328506	1338.27997462117
8	19953	57.658348104616	1.57015424773053	57.6797233914548	1.55989524509767	1341.00302361429
9	15849	57.7569972489501	1.79305165507468	57.7848229680856	1.77816216121824	1343.67107360756
10	12589	57.9034629198338	2.05843828433632	57.9400395778169	2.03597807451049	1346.45912360052
11	10000	58.0076517540202	2.38350478388619	58.056599599619	2.3529307255824	1349.33717659325
12	7943.3	58.2107075026734	2.80527780540611	58.2782639714611	2.75905119751681	1352.23022858595
13	6309.6	58.4171900492602	3.30375198913789	58.510536405481	3.23688321747494	1355.19828457845
14	5011.9	58.6081201338829	3.90056710709462	58.7377746376606	3.80761131209489	1358.25134457075
15	3981.1	58.9238285881312	4.60549005295221	59.1035372385724	4.46915573223715	1361.31439956301
16	3162.3	59.1867422886077	5.48080216001827	59.4399668157321	5.2906074219554	1364.43245755514
17	2511.9	59.5409158966515	6.52500197801309	59.8973815506588	6.25400431179906	1367.68551854693
18	1995.3	59.9032679551167	7.7871130861758	60.4072896422228	7.40661890563909	1371.08358153835
19	1584.9	60.3307768701426	9.32874857334523	61.0477533386744	8.78984475916183	1374.44164152987
20	1258.9	60.7778022602252	11.2148737207019	61.8038400113968	10.4547640708314	1377.92970752106
21	1000	61.3146358635843	13.5438066630594	62.7926689193115	12.4560634657562	1381.38277151234
22	794.33	61.9280393985881	16.3795410339712	64.0575633960317	14.8150878108787	1385.0058365032
23	630.96	62.573172123393	19.9035182451558	65.662408637812	17.6450292304508	1388.56390449421
24	501.19	63.3014058084626	24.2391066686142	67.7834955532696	20.9526311684098	1392.211970485
25	398.11	64.1900189611974	29.6470215691889	70.7057594695286	24.7904876985193	1395.86003947579
26	316.23	65.1982467511936	36.3842142131174	74.6633941321686	29.1639246465501	1399.61310946632
27	251.19	66.5094681298871	44.7703036312474	80.1741195034566	33.9461454792876	1406.90024544792
28	199.53	67.9080807313707	55.1497260736271	87.481424969044	39.0808513676413	1412.21134243451
29	158.49	69.9552069045527	68.1892983029714	97.6908970995271	44.2676248747055	1416.27441642425
30	125.89	72.7366647509637	84.6340025516137	111.595415618208	49.3233787302864	1420.25749141419
31	100	76.5940751889083	104.785301591465	129.79449827962	53.8346147326915	1427.7796303952
32	79.433	82.0235531681125	129.899397070991	153.628502022669	57.7300855544417	1431.80770438503
33	63.096	90.581198827714	161.734315561941	185.372442427011	60.7484817048712	1436.16078537404
34	50.119	100.960839280022	198.086921741677	222.332003169178	62.9929940948968	1440.93887436198
35	39.811	118.944277667463	245.216568844887	272.541568986996	64.1239208763412	1445.67196135003
36	31.623	143.590073781881	299.568151454009	332.203531971377	64.3905019772276	1450.63005133751
37	25.119	181.834649724963	364.917235459191	407.711207321774	63.5133779592784	1455.29314032574
38	19.953	233.974840397676	435.818953435239	494.653804304086	61.7703179959347	1460.28123231314
39	15.849	310.574463776658	510.211817424194	597.304441796189	58.6704263944198	1465.33932630037
40	12.589	400.909545605718	587.2463606753	711.046237514951	55.6788824798948	1477.50055326967
41	10	526.364247855172	649.534846468181	836.035189568349	50.9796919749598	1483.32365725497
42	7.9433	665.532187502457	692.855557867574	960.719478656384	46.152323942334	1489.35676923974
43	6.3096	824.686389909567	706.004743924123	1085.61058402423	40.5664601811818	1495.47488422429
44	5.0119	972.612818203348	689.872913136523	1192.43462311899	35.3480246320535	1500.92298221053
45	3.9811	1104.22646885091	652.484658145788	1282.5959315492	30.5787345685791	1506.27608119702
