Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	100000	58.0935183724076	1.31531849575808	58.1084067896423	1.29703496841387	131.720633667437
2	79433	58.0465060860314	1.2178700715624	58.059280707798	1.20194278057938	133.848669662065
3	63096	58.071701941314	1.17225135028186	58.0835324303632	1.15643130735478	136.1317146563
4	50119	58.0819283914843	1.157391238927	58.0934588413657	1.14157466674945	138.479756650372
5	39811	58.1230587167553	1.19831412470699	58.1354101330063	1.18109091349967	140.882799644305
6	31623	58.1899133328486	1.29066159549841	58.2042251132899	1.2706212268	143.260844638301
7	25119	58.2622379447601	1.42963791200886	58.2797755219707	1.40564089685909	145.658891632247
8	19953	58.3656211231772	1.59341396176823	58.3873676161875	1.56381825196294	148.086933626116
9	15849	58.4720898142426	1.80332307387167	58.4998911225791	1.76648485943892	150.509980619999
10	12589	58.6040420191084	2.09090978027143	58.6413305159992	2.04336606606688	152.978026613768
11	10000	58.7343171797129	2.42085723148403	58.784186345499	2.36022895320879	155.59107560717
12	7943.3	58.9340094016907	2.83248561297982	59.0020375826657	2.75163161763316	158.22912160051
13	6309.6	59.1115595249252	3.30377019215679	59.2038120981357	3.19895734218237	160.937171593673
14	5011.9	59.3517877548868	3.90065395299065	59.4798269244465	3.76012380158581	163.780226586495
15	3981.1	59.627652987032	4.60703285455845	59.8053655825703	4.41808698135632	166.59827657938
16	3162.3	59.9260849225187	5.45441260208083	60.1738005362356	5.20067481952646	169.511331572025
17	2511.9	60.2820898868659	6.49611621876787	60.6310967000921	6.15057071669515	172.579388564279
18	1995.3	60.6216737109995	7.75474870549568	61.1156563493208	7.28970899703662	175.632444556571
19	1584.9	61.0610053848157	9.28150904635585	61.7623897593194	8.64301923553131	178.850505548446
20	1258.9	61.5522501813494	11.1481673234802	62.5536660561133	10.2659601038	181.818560540952
21	1000	62.0978932713121	13.4329948452522	63.5341931502072	12.2061305177267	184.806616533408
22	794.33	62.7234200044519	16.2703236432168	64.7993120990485	14.5418982422378	188.169675524917
23	630.96	63.3480526833876	19.7286755426937	66.3490498609146	17.298313350856	191.262734517108
24	501.19	64.1273693905993	24.0502364286112	68.4889288661348	20.5579822597359	194.435794509097
25	398.11	65.0673408402361	29.3505018798025	71.3807453352495	24.2791292000424	197.673854500921
26	316.23	66.1438977569567	36.0112605478847	75.3115269844556	28.5655580859253	200.991915492544
27	251.19	67.4030947170012	44.2763303901507	80.6447184274756	33.3004588730803	207.974046474916
28	199.53	69.1514926269982	54.4961125203755	88.0440526803214	38.2405308559143	212.700134462984
29	158.49	71.3892393369689	67.3889172809613	98.1717355729808	43.348889143093	216.153194454266
30	125.89	74.4461766152889	83.2154925416202	111.65595108	48.1835741378153	219.536257445724
31	100	78.9385447051015	103.355542954189	130.052535921121	52.6289560117592	226.503387428134
32	79.433	85.2981032691607	127.867518848167	153.707087662549	56.2934661443934	229.936449419466
33	63.096	94.8024398119458	158.525160533898	184.709851162832	59.1194065825068	233.334515410887
34	50.119	109.049106464589	193.918166791822	222.476882018394	60.6489494205168	237.112584401348
35	39.811	128.119303582844	237.911419853746	270.215468926889	61.6967883966878	241.225659390964
36	31.623	157.298121120249	288.013957485175	328.168765445818	61.3589470347225	245.513737380137
37	25.119	199.188297697222	345.003200700497	398.37568504253	59.9999244075089	249.606813369803
38	19.953	254.818591827874	407.347154990909	480.483318566138	57.971700862863	254.094899358472
39	15.849	332.835934111758	467.016967101156	573.484617576102	54.5231021722526	258.502979347343
40	12.589	427.870596764142	523.9964262999	676.495012805246	50.766556892965	269.864190318658
41	10	539.990428473647	558.577192260076	776.91578858735	45.969299933673	274.827281306128
42	7.9433	659.277166359726	570.471362724595	871.82794046312	40.8695779667515	280.045377292953
43	6.3096	784.818418354065	567.891446999402	968.731461945389	35.8893475861191	285.368478279514
44	5.0119	900.0713313044	536.880178116962	1048.03088079072	30.8154956130763	290.191568267337
45	3.9811	994.933477422777	491.68405270704	1109.79540104607	26.298023739425	295.554667253796
46	3.1623	1071.39143584068	441.738701746782	1158.88424331928	22.4065373607793	301.032768239965
47	2.5119	1136.91245788441	390.929234534449	1202.24606603909	18.9756167374446	305.655853228293
48	1.9953	1189.5513294803	341.87831488992	1237.70479019043	16.0347071998149	310.113933217038
49	1.5849	1224.74424764498	302.801740106236	1261.62092799337	13.8871353045649	314.492019205984
50	1.2589	1258.03011155752	268.28307226233	1286.31861078348	12.0383633377408	319.010099194577
51	1	1276.93385690495	239.285491220511	1299.16035238872	10.613603763343	325.576222177999
52	0.79433	1298.64041567974	218.863880003342	1316.95418569021	9.56633848254934	329.614297167804
53	0.63096	1318.3683312787	204.537410486506	1334.14040086008	8.81880995247456	334.022377156675
54	0.50119	1337.39420410682	197.105976115302	1351.8409754845	8.38393211540007	338.695465144876
55	0.39811	1357.00372257355	194.292475059752	1370.84232096303	8.14809264212497	343.743556132131
56	0.31623	1378.21750127387	195.577786526505	1392.02519783235	8.07670720783229	349.636668117252
57	0.25119	1400.82335606652	202.238121513141	1415.34671819121	8.21508125391302	356.319789100379
58	0.19953	1423.66881029946	208.963490953451	1438.92272967346	8.35014515958287	363.712926081713
59	0.15849	1453.32385289445	225.65565678636	1470.73814692883	8.82576468572483	372.151083060409
60	0.12589	1480.30768265138	241.474323243701	1499.87355603821	9.26473866690106	381.929266035721
61	0.1	1514.29269099753	261.592070840412	1536.72143394147	9.80103994700637	393.307477006994
