Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	100000	57.7572030670604	1.24455084323463	57.770610286988	1.23441707017232	935.807528637313
2	79433	57.7029257760782	1.10852817664827	57.7135727349989	1.10057112985952	937.880564632079
3	63096	57.6938119439784	1.08397751260622	57.7039941760966	1.07637245533218	940.213606626189
4	50119	57.7240601844121	1.08796633014364	57.7343121108163	1.07976637512771	942.596650620172
5	39811	57.7322572488653	1.13556198415048	57.7434241110536	1.12683140138324	944.91469361432
6	31623	57.7971815223362	1.19531814440473	57.8095405395357	1.18477962606282	947.337738608202
7	25119	57.8536411656103	1.31857861475351	57.8686654907687	1.30563799649775	949.810783601958
8	19953	57.9736079276984	1.48125937435503	57.9925283591654	1.46362202000482	952.318832595626
9	15849	58.027956306076	1.72142279583341	58.0534840427504	1.69920413829772	954.841878589256
10	12589	58.1636731059517	1.96391285115732	58.1968196971531	1.93387346945009	957.48992758257
11	10000	58.3099749033242	2.3063392619832	58.3555684919414	2.26504402021202	960.172975575796
12	7943.3	58.4680226217831	2.69842212934857	58.5302584249335	2.6424455597134	962.921028568858
13	6309.6	58.6767873691224	3.16808205709469	58.7622508068036	3.09051779263525	965.709080561819
14	5011.9	58.835302218236	3.73805112125225	58.9539295831606	3.63535262921216	968.637132554426
15	3981.1	59.0993581397185	4.44912535595038	59.266591339132	4.3052272307149	971.595187546958
16	3162.3	59.3432314128997	5.2862230022827	59.5782113541085	5.0904026793065	974.633245539288
17	2511.9	59.6368076490449	6.30109242783219	59.9687634719382	6.0313671750303	977.786303531327
18	1995.3	59.9810398152705	7.53039342961019	60.4518979232727	7.15582946954177	981.009361523189
19	1584.9	60.3400474993998	9.0799089971842	61.0193910132424	8.55760354505223	984.267422514964
20	1258.9	60.7619659225881	10.9519047115279	61.7410780565754	10.2174460092645	987.645486506435
21	1000	61.2569502330167	13.2488369298557	62.6733247230766	12.2041241782439	990.963548498058
22	794.33	61.7783334123885	16.0562098783282	63.8307477229365	14.5688675491216	994.421611489327
23	630.96	62.3840331256086	19.543772791111	65.3737458306284	17.3948163118272	997.889676480571
24	501.19	63.0913212400539	23.8690321770226	67.4555076541821	20.7228898999904	1001.42274147165
25	398.11	63.8126845735968	29.2192722067664	70.1842188870295	24.6026307124487	1005.06580946245
26	316.23	64.6993628915777	35.8748487376443	73.9798102898685	29.0077263091908	1008.75887745313
27	251.19	65.7777820619135	44.1939311943047	79.2453163751116	33.8958568136237	1015.80100843535
28	199.53	66.9696650868513	54.5422256869717	86.3700782952845	39.160467121159	1020.89710442248
29	158.49	68.4558296845083	67.535315053028	96.1624635557251	44.6121747634713	1024.79017241265
30	125.89	70.6409807867144	83.8171281935973	109.615049811287	49.8758485769314	1028.82324740247
31	100	73.2848149008872	104.50428950268	127.639377229432	54.959506718345	1036.13538738401
32	79.433	77.360499738213	129.796755685397	151.102100270647	59.2045258677652	1039.85345237462
33	63.096	82.9499406902584	161.227685845648	181.314807292897	62.7746584267593	1044.16153136375
34	50.119	92.1970666912974	200.506885907942	220.688265213581	65.3060846987382	1048.70961735226
35	39.811	104.570663603817	249.735433671242	270.744917805498	67.2796826558276	1053.1326973411
36	31.623	123.065118046646	308.458593903372	332.101983482003	68.2495805697405	1057.68078132961
37	25.119	152.407680522678	380.492536274834	409.881289208423	68.1712485289302	1062.41387031766
38	19.953	194.806876727041	466.673241701907	505.701130847768	67.342516832322	1067.49196530484
39	15.849	256.438189168688	565.92766787175	621.316883825696	65.6233453606899	1072.20005029295
40	12.589	339.046306654933	670.502988780032	751.34988921228	63.1761172974723	1084.94428826078
41	10	464.407144732101	783.358222609029	910.67233460087	59.3387847929209	1090.3623872471
42	7.9433	620.264823778817	883.304836984266	1079.33122194124	54.9231145992963	1096.05549423273
43	6.3096	819.498509592597	956.29287588207	1259.39424791734	49.404960881863	1101.88360321801
44	5.0119	1027.23867824906	1011.66946954764	1441.76780991451	44.5624949499299	1107.80671120306
45	3.9811	1246.85456050668	996.627056548172	1596.21796284223	38.635798789857	1113.81982118788
46	3.1623	1450.63961410595	959.16374626549	1739.06595106784	33.4727004904653	1119.97793617233
47	2.5119	1636.01093824302	880.182259206892	1857.75471994377	28.2804789430165	1126.19105115664
48	1.9953	1789.25703299921	775.868138691004	1950.23385745735	23.4428026557219	1132.62917214039
49	1.5849	1880.62498130159	688.495676740079	2002.69234211982	20.1076480277962	1136.77724812991
50	1.2589	1973.42123237112	606.646935460693	2064.56093750633	17.0878857449522	1143.51037211291
51	1	2030.56359715677	519.889296529049	2096.06140242687	14.3610582245956	1155.02958808383
52	0.79433	2079.75971764701	453.837402312386	2128.70121691251	12.3098998995798	1159.11766107351
53	0.63096	2119.11955888772	400.095294808976	2156.5583576126	10.6917373145244	1163.67074406201
54	0.50119	2152.56978569195	359.208352859132	2182.33529115892	9.47389102104421	1168.51883604977
55	0.39811	2180.34573494481	334.671513868105	2205.88135358337	8.72648997767809	1173.80693103642
56	0.31623	2204.57183216804	311.881136684703	2226.52347991403	8.05220855287704	1179.65004102167
57	0.25119	2229.36633071956	301.036583652635	2249.5993557172	7.69026833209664	1186.18316300518
58	0.19953	2259.01266339214	304.680310708665	2279.46667119736	7.68131367671965	1193.55129998657
59	0.15849	2296.16046522445	296.387260549127	2315.21020433903	7.35504216695008	1201.90445396548
60	0.12589	2315.6052030292	313.619725847033	2336.74662484752	7.7130632685226	1211.47263094133
61	0.1	2351.62401816663	322.081397547738	2373.57787937629	7.79877975702986	1222.6108369132
