Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	100000	58.5479263395569	1.85507797423766	58.5773078329201	1.81479683741811	551.210402608328
2	79433	58.5327956403934	1.74523487597559	58.5588081355178	1.70784557809257	553.303438603043
3	63096	58.5580056494747	1.71766800638211	58.5831922058201	1.68016166237012	555.656483597102
4	50119	58.6810712888757	1.8261346152698	58.7094787512476	1.78244956926464	558.04952759106
5	39811	58.7832296305589	1.95083928458147	58.815591977921	1.90077765180476	560.377569585183
6	31623	58.9224340845157	2.10834568883314	58.9601421299824	2.04926691843484	562.680611579368
7	25119	59.1378383072352	2.33669256797495	59.1839847577867	2.26273087539353	565.043656573402
8	19953	59.336429345377	2.62715499574712	59.3945602797983	2.53514832660383	567.45669956731
9	15849	59.5663195251317	2.9383606854579	59.638749025176	2.82406750931899	570.069749560712
10	12589	59.8438131146952	3.37030765176949	59.9386431425849	3.2234014064498	572.557795554431
11	10000	60.1603392096445	3.85394881961979	60.2836572822497	3.66543278414051	575.065840548098
12	7943.3	60.5720569119337	4.38995874797281	60.7309296516317	4.14526290540612	577.678888541501
13	6309.6	61.0024643737662	5.04784882940612	61.2109584754	4.73035001402774	580.326936534815
14	5011.9	61.5173074517494	5.79780114008454	61.7899151494241	5.3840326847132	582.984988528104
15	3981.1	62.031984518529	6.68343821730311	62.3909885296869	6.14942933493686	585.663035521343
16	3162.3	62.7078803029597	7.69942190416003	63.1787887644942	6.99987610342454	588.396088514443
17	2511.9	63.390058675039	8.90116908303541	64.0119547418267	7.99315486406383	591.214138507328
18	1995.3	64.2369662222474	10.2976290950836	65.0571210123694	9.10742140996248	594.047192500175
19	1584.9	65.1129536957094	11.9169715025381	66.1944933417569	10.3714868685031	597.160248492315
20	1258.9	66.0679560330251	13.8132823525607	67.4965301606927	11.8091130139244	600.323307484329
21	1000	67.0615597668151	16.0905555820127	68.9649097534098	13.4923251302741	603.361363476659
22	794.33	68.1620144138003	18.8214989063907	70.7128632571924	15.4363650133074	606.539422468635
23	630.96	69.2437010626496	22.1432149277235	72.6980887244565	17.7335851558583	609.637482460813
24	501.19	70.3633627039252	26.2191286873897	75.0895832997496	20.4366375374131	612.780538452878
25	398.11	71.462897185064	31.338252238401	78.0322479968421	23.6786424094446	616.268604444071
26	316.23	72.5970331673792	37.6798948805892	81.7930541239158	27.4305776331036	619.736669435315
27	251.19	73.7780243881055	45.7690725408542	86.8216844104159	31.8138866554704	625.665780420346
28	199.53	74.9462541481427	55.9012572173775	93.4980832387563	36.7186906766951	629.223845411363
29	158.49	76.42293737882	68.8041157967015	102.832250331173	41.9969334072382	633.006914401811
30	125.89	78.3718995373693	85.1518745263758	115.728114010603	47.3742210225164	636.914985391944
31	100	80.530784750252	105.387628049892	132.633930193121	52.6151480812652	640.91305838185
32	79.433	83.563383638626	130.849641493078	155.256135994695	57.4368269885545	645.051135371402
33	63.096	87.6668731662119	163.061302092636	185.133651427521	61.7361303859673	649.27421636074
34	50.119	94.1342102286692	203.177856734331	223.925190638596	65.1412673199468	653.827299349245
35	39.811	103.548371676055	252.431772545011	272.84439716985	67.696394639765	658.140380338355
36	31.623	117.882539716835	314.127217572659	335.517811732897	69.4303903647787	662.728465326771
37	25.119	138.465016543294	389.154119132015	413.053857558248	70.413921108095	667.351548315099
38	19.953	168.540272186097	483.132012987752	511.685807231509	70.7687092253982	672.269641302682
39	15.849	214.859922417445	594.696820103882	632.320404623241	70.1355563202774	683.600853274074
40	12.589	281.636829514598	729.367751855835	781.854603610076	68.8865151789009	688.263935262301
41	10	376.948673448522	876.636694252005	954.244306309282	66.7325767848164	699.352142234306
42	7.9433	511.900523538761	1039.82493479368	1158.99872347554	63.7892114451092	704.715242220765
43	6.3096	706.226144703072	1211.06155842228	1401.93632728108	59.7515562614527	709.988337207452
44	5.0119	944.162957291072	1365.88412085557	1660.44666325842	55.3459592966184	715.516440193495
45	3.9811	1238.5962581995	1484.21787430277	1933.13822300052	50.1546278257843	721.044545179538
46	3.1623	1574.29699767096	1550.37521340102	2209.54165817349	44.561365030392	726.882651164798
47	2.5119	1910.05567584144	1546.53151099166	2457.65587487432	38.996356923262	733.035767149263
48	1.9953	2228.44900997654	1471.15583502676	2670.25925351804	33.4316071460361	739.118878133904
49	1.5849	2525.3303243136	1357.39902857962	2867.0237825464	28.2586277433525	745.501997117788
50	1.2589	2738.22661495494	1204.46409387015	2991.42420065594	23.7432600537921	752.185122100915
51	1	2916.06404030289	1054.65296386594	3100.92282415071	19.8835387141967	763.559333072198
52	0.79433	3051.57573688913	909.896991693674	3184.34090723083	16.6031512416695	770.472461054744
53	0.63096	3152.19866184977	782.743469094473	3247.92914672988	13.9454331666941	776.77557503883
54	0.50119	3232.09677013744	676.354354569224	3302.10610739231	11.8192632612974	784.448719019457
55	0.39811	3295.77431520319	590.083534067269	3348.18262852109	10.1508235218871	792.681869998671
56	0.31623	3344.72666755339	518.726626040066	3384.71177402238	8.81565091226984	798.504976983969
57	0.25119	3392.97724769106	469.071592676389	3425.24783955923	7.87112223790305	807.54314396115
58	0.19953	3437.41481068363	426.539533220964	3463.77778647932	7.07352141157737	814.796278942837
59	0.15849	3473.19749036523	398.138972427527	3495.94271240891	6.53937608609204	822.984431922164
60	0.12589	3519.35883550871	386.877771163143	3540.55942230792	6.27324971564892	832.452605898259
61	0.1	3554.45865286706	375.105059331423	3574.19643003537	6.02417534015338	843.680813869911
