Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	1	3783.95338748479	1913.93319129451	4240.45321863081	26.8304017109321	457.780476844215
2	0.79433	4078.93409344301	1693.65692624575	4416.57979917402	22.549225226814	461.657548834427
3	0.63096	4313.32499224402	1470.45701509738	4557.08419079195	18.824773247298	465.659621824322
4	0.50119	4489.49729003372	1266.96154423503	4664.84484970192	15.7593667106816	470.28670581264
5	0.39811	4618.01701023231	1086.94759132963	4744.21080613965	13.2446974339558	475.063795800579
6	0.31623	4712.19044291883	940.098124215634	4805.05184711771	11.282572407725	480.27589278742
7	0.25119	4795.73627073825	826.725784409783	4866.47325083396	9.78095329041287	486.173000772531
8	0.19953	4862.16976180381	725.463427002338	4915.99348825009	8.48625165528203	492.895126755559
9	0.15849	4916.61319182255	660.276063633609	4960.75092684676	7.64876775834055	500.702269735848
10	0.12589	4978.55903735844	619.621505461359	5016.96929415495	7.09443781241798	511.809477707805
11	0.1	5017.96077359499	582.042888543065	5051.60412635844	6.61628091326939	522.59667668057
