Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	100000	55.2237433218393	1.4449667559181	55.2426443556253	1.49884099587944	131.83065266716
2	79433	55.1887465548755	1.36409985366745	55.205602204025	1.41589108252207	134.12769266136
3	63096	55.1744959226825	1.31419989010785	55.1901451499565	1.36446868723659	136.434735655535
4	50119	55.1990685319055	1.29210157537092	55.214189238556	1.34093657358002	138.766777649648
5	39811	55.2339747254401	1.35601031309155	55.2506174439686	1.40634572920776	141.138821643659
6	31623	55.2938744386771	1.42991954132239	55.3123604661276	1.48135936387286	143.49086563772
7	25119	55.4138224485152	1.55234487983949	55.4355616277271	1.60464574633069	146.052912631252
8	19953	55.5138851053858	1.7412321892027	55.541185880666	1.79653357174636	148.519959625023
9	15849	55.6448754899472	1.9840230402903	55.6802345156352	2.04202113429963	150.997005618769
10	12589	55.8122178772964	2.2288688275086	55.8567052432655	2.28689986038748	153.549050612326
11	10000	55.9484336301457	2.56641466342911	56.0072647956628	2.62637779452721	156.29610360539
12	7943.3	56.1893417120142	3.01533940953869	56.2701909876287	3.0717687338575	158.808147599048
13	6309.6	56.3934303426767	3.50379155147297	56.5021728878678	3.55528548252476	161.530199592175
14	5011.9	56.6649792211098	4.12148505673947	56.8146680814183	4.1600402519623	164.462255584773
15	3981.1	56.9748436546955	4.84520790266388	57.1804936066228	4.86080539442193	167.269307577686
16	3162.3	57.2745265457758	5.72438247168126	57.5598813908165	5.70755220833842	170.22635957022
17	2511.9	57.6967050424374	6.78128828952751	58.0938520294506	6.70341186585988	173.218414562666
18	1995.3	58.1064466680505	8.07854662268651	58.6653395108383	7.91510171377305	176.470476554455
19	1584.9	58.5547188636792	9.6102041239569	59.3381085349763	9.3204882527471	179.757536546156
20	1258.9	59.0845091256796	11.5227022765622	60.1976069821451	11.0353515261402	183.01959853792
21	1000	59.6149211983349	13.8078296806892	61.1930959338927	13.0407262833255	186.481660529179
22	794.33	60.2340389641858	16.7017143103223	62.5066933283363	15.4976477081025	190.108729520022
23	630.96	60.9457188375525	20.1866940299935	64.2018945241227	18.3261176120622	193.670793511028
24	501.19	61.7008357201912	24.5401203295905	66.4018872801128	21.6890771625143	197.302862501858
25	398.11	62.5183303546173	29.9137559830766	69.3063808559076	25.5701713605176	201.379936491565
26	316.23	63.4147119457643	36.5750095255091	73.2062634817223	29.9745880669092	205.212008481889
27	251.19	64.4760034040991	44.9585038381697	78.6029394000767	34.8876971575275	212.34514346388
28	199.53	65.6580431778753	55.4777086888003	85.9578663957356	40.1961105386243	217.404235451107
29	158.49	67.1804239216716	68.5361729169798	95.9709141167346	45.5723405507391	221.361308441116
30	125.89	69.105844898673	85.0966940916515	109.622375199991	50.9204276383823	225.483382430709
31	100	71.5693614891243	105.569989612495	127.542919092921	55.8653660933931	229.205451421312
32	79.433	75.3544206684798	131.426234169122	151.496348940029	60.1718064539153	236.573590402709
33	63.096	79.8389599965795	162.916209615403	181.427536192237	63.8923051879698	240.545661392681
34	50.119	89.1780649192461	203.849027866037	222.502030158535	66.3720105854729	244.907744381667
35	39.811	98.6073536526264	252.744810522379	271.299372355278	68.6869604902731	249.274824370642
36	31.623	115.275430531294	313.094841499419	333.641730989577	69.7872745153411	253.891910358985
37	25.119	137.888049416711	389.201767664656	412.905715781748	70.4915664619396	258.258992347959
38	19.953	171.646946436817	478.249414704384	508.119254591055	70.2565946314069	263.33608533514
39	15.849	221.337679447693	587.219176932639	627.548189464949	69.3473118013788	268.558182321956
40	12.589	290.586003755037	710.281237736548	767.424043315614	67.7498426337495	281.434423289446
41	10	395.431467041907	851.840491039638	939.147628065773	65.0988779822029	287.236528274797
42	7.9433	528.016802198451	1001.61656061409	1132.27093838015	62.2033885883657	293.313641259454
43	6.3096	712.494264653793	1153.8688001769	1356.11993761106	58.3053787267482	299.795758243088
44	5.0119	954.786565211768	1277.24030420139	1594.66616562381	53.2204629310243	312.968004209832
45	3.9811	1231.59244719239	1372.32014369587	1843.93127116354	48.0935241483708	327.797279172391
46	3.1623	1540.77252804612	1412.48531459584	2090.2379642353	42.5126798098262	334.554404155331
47	2.5119	1844.57377744461	1399.95650658903	2315.67066759875	37.1970202029009	341.631535137463
48	1.9953	2115.39805892344	1324.34349804526	2495.75532625131	32.0485959802168	348.703666119608
49	1.5849	2371.71865998476	1209.05446584383	2662.11609504484	27.0115722415286	355.980799101235
50	1.2589	2588.82067348645	1105.19208931496	2814.8609261836	23.1180954506627	363.522939082193
51	1	2738.13597243373	955.03726482397	2899.91116773223	19.2283134796479	375.73916905135
52	0.79433	2860.19137527363	832.489160573591	2978.88114997262	16.2281995166429	383.616311031462
53	0.63096	2960.71011032026	725.124225384209	3048.21414923421	13.7617410779558	392.063469010135
54	0.50119	3036.60980438473	633.314523537049	3101.94880515595	11.7807204078073	397.070561997493
55	0.39811	3096.67512451356	559.884231815556	3146.88213630838	10.2484618454809	402.482660983829
56	0.31623	3151.8004585814	501.484480248441	3191.44682152843	9.0405763868427	408.209767969369
57	0.25119	3201.85215621226	457.159656090797	3234.32406870403	8.12575680846532	414.846888952612
58	0.19953	3249.92242346893	428.809988101363	3278.08995673725	7.51645522273546	422.48403193333
59	0.15849	3300.43548938906	415.441413513061	3326.47951860229	7.17435809520407	431.066190911662
60	0.12589	3349.35222795425	400.105824887593	3373.16542997984	6.8121395303711	440.923371886775
61	0.1	3409.64029157796	411.002359164628	3434.32232866845	6.87334350266686	452.315581858013
