Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	100000	86.8173941984057	5.48593461508847	86.9905478428685	3.61567578065668	808.752975958095
2	79433	87.213406363341	5.0142526437689	87.3574323058593	3.29054435629742	810.825012952864
3	63096	87.6757229127726	4.68070265699366	87.8005772511802	3.05592183516705	813.087053947153
4	50119	88.120343625803	4.41191597953346	88.2307200658595	2.86623104283092	815.854103940166
5	39811	88.5683994720798	4.26599320977841	88.6710780531723	2.7575822980194	818.226148934178
6	31623	88.937422116067	4.19931034007184	89.0365052098504	2.70329623856735	820.628193928113
7	25119	89.4103538235222	4.22482576066367	89.5101140852552	2.70533286653113	823.16024092172
8	19953	89.8097992141621	4.31544453838632	89.9134200019774	2.75099964298308	825.567283915643
9	15849	90.1817476178944	4.48291498535234	90.2931012325056	2.84581816849214	828.139333909149
10	12589	90.7192622433294	4.77186749306238	90.8446765713066	3.01100476153668	830.801382902428
11	10000	91.2729160482123	4.93297296181555	91.4061235705027	3.09362106170538	834.900459892079
12	7943.3	91.8111546433424	5.55563598822337	91.9790911467241	3.46283443015023	840.171555878771
13	6309.6	92.4525730538902	6.08549289368578	92.65263886174	3.76593958652664	842.898606871886
14	5011.9	93.1149197167164	6.69453552323531	93.3552627317946	4.1122281172139	845.76065986466
15	3981.1	93.8866620588489	7.40726509447958	94.1784098864087	4.51105317537678	848.672710857307
16	3162.3	94.6918001867048	8.24539227666006	95.0501105543535	4.97654033891643	851.644765849804
17	2511.9	95.6582009642276	9.23670482309733	96.1031119563856	5.51535108156869	854.661824842186
18	1995.3	96.6916395361368	10.3415428374476	97.2431008578243	6.10479678526375	857.803880834253
19	1584.9	97.7510661834205	11.6165240271709	98.438887491018	6.7771219043701	860.930940826358
20	1258.9	99.0036284185356	13.0822726393925	99.864229318845	7.52741621298602	864.208001818085
21	1000	100.298965742832	14.787323813809	101.383171555522	8.38683993056763	867.800065809015
22	794.33	101.686374647632	16.7525084146464	103.057097412848	9.35526369234821	871.722138799113
23	630.96	103.22429232144	19.0506866035924	104.967533958508	10.456631656142	876.044220788201
24	501.19	104.726274739389	21.8007013648229	106.971319524386	11.7592319089431	880.841309776089
25	398.11	106.329153867699	25.0897856504038	109.249193618095	13.2768483555213	884.478376766907
26	316.23	107.799553290524	29.234040673181	111.69320849415	15.1730458071705	889.195461754997
27	251.19	109.366075848564	34.3645341246874	114.637950749831	17.4435355614514	893.777548743429
28	199.53	110.836510653308	40.8973841931036	118.141136475146	20.2534746824631	897.954623732883
29	158.49	112.644644538829	49.1511744740261	122.900992247643	23.5734874831475	906.42778471149
30	125.89	114.60651157239	59.6488201408002	129.199977705036	27.4954553019417	910.739863700603
31	100	116.972119097803	72.7989932180688	137.775796349704	31.8965617761665	916.656973685664
32	79.433	119.964889100858	89.3651772296991	149.591809663085	36.6834492174964	921.614063673148
33	63.096	123.497197521961	109.259353850763	164.891370907227	41.4995479823906	926.181147661617
34	50.119	128.897849521784	134.707044356444	186.442064488112	46.2624518284657	930.993237649468
35	39.811	137.342239470624	166.955036264943	216.187129304764	50.5582570196378	935.455317638202
36	31.623	148.932460645499	205.371071324695	253.689090760671	54.0508604515695	939.957403626836
37	25.119	164.22390046584	252.749072400631	301.415963551357	56.9861727587958	944.394485615633
38	19.953	186.383773914927	308.017325711038	360.018866334738	58.8215285878385	949.256574603358
39	15.849	216.404511818904	373.331152482477	431.517163215407	59.9009175814049	954.88367958915
40	12.589	260.785132296417	453.798282978753	523.394465829859	60.1152268952894	960.020775576181
41	10	321.187889917067	537.946153969336	626.536292005322	59.1601259993331	966.337890560231
42	7.9433	403.389551728856	628.542244575751	746.852384116386	57.3082244930824	972.560005544522
43	6.3096	504.174901004144	734.544005011457	890.924927309147	55.5351499164704	988.066297505372
44	5.0119	638.869390750448	822.882641341167	1041.77249908916	52.1749605574515	1000.72353147342
45	3.9811	792.618506502619	906.39703601307	1204.0762782082	48.8312248392054	1009.54069145115
46	3.1623	975.987387697086	964.229710615979	1371.965858095	44.652792964264	1020.17288842431
47	2.5119	1180.58861626139	1001.77230051137	1548.33369236668	40.3158142371576	1031.49009939574
48	1.9953	1409.18046406365	1045.69831212522	1754.78618078676	36.577680745842	1043.23231536609
49	1.5849	1583.74980106166	983.599308849339	1864.33125616982	31.8426485526329	1054.3995213379
50	1.2589	1735.60465218572	937.612073853329	1972.67329016344	28.3788999472726	1066.29674230786
51	1	1873.08845006099	954.722020009952	2102.36877765148	27.0081537355618	1082.16803726779
52	0.79433	2047.81710947012	867.178158481175	2223.85990394749	22.9509403181573	1093.49524623919
53	0.63096	2128.63370084513	760.975559324926	2260.56745846337	19.6717077272392	1105.36746420922
54	0.50119	2226.01958596168	688.371541560253	2330.02544542223	17.1836359045564	1110.27955519681
55	0.39811	2365.38961403457	584.887679226159	2436.62915181879	13.8888822549641	1116.13166318204
56	0.31623	2361.73873046579	567.09791538121	2428.87008228351	13.5021701747528	1123.0787931645
57	0.25119	2511.0397825594	457.029161885942	2552.29239007017	10.3153701874447	1130.04592314691
58	0.19953	2632.54694210279	448.653115985667	2670.5042634039	9.67173795711219	1138.10307012657
59	0.15849	2699.54955032885	489.226832069737	2743.52158145288	10.2719636269539	1147.01023510408
60	0.12589	2579.94569923304	465.237251271422	2621.55784047609	10.2221931874117	1157.22742707828
61	0.1	2586.42795252258	479.218716917656	2630.44865607263	10.4968437834493	1168.9446430487
