Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	100000	86.6979829732902	5.49849233608441	86.8721685559127	3.62890830435695	127.735367677499
2	79433	87.141552097562	5.04686060594572	87.2875758853914	3.3146202696066	129.652398672659
3	63096	87.5775103047177	4.69865693218956	87.7034645161715	3.07105497901704	131.899442666986
4	50119	88.0199324820163	4.45149148100095	88.1324247399567	2.89519148715797	134.401486660669
5	39811	88.4085476916012	4.2906021050482	88.5126012009701	2.77847183702957	136.638529655021
6	31623	88.8571735510007	4.21035677342872	88.9568681757188	2.71284091868261	139.035574648969
7	25119	89.2916045051744	4.22846691319573	89.3916694527206	2.71125654197722	144.997682633916
8	19953	89.6892938995673	4.31662912022171	89.7931106887633	2.75544515151208	149.684772622082
9	15849	90.1403752342519	4.48969455161683	90.2521168978243	2.85142082232754	152.121813615929
10	12589	90.6477440043628	4.7677071363415	90.7730385324762	3.01075359501261	154.848866609044
11	10000	91.2381539750191	4.94542329073091	91.3720851917794	3.10259316911548	158.912941598783
12	7943.3	91.7190357417381	5.55215905841815	91.8869304504411	3.46413982431788	164.09904058569
13	6309.6	92.3255170006202	6.06746656608612	92.5246736820097	3.75996862447895	166.826086578805
14	5011.9	93.0648592440006	6.68766342262388	93.3048383963015	4.11022344859772	169.74314257144
15	3981.1	93.796936811191	7.38562239986215	94.0872614831354	4.50221184745432	172.640199564125
16	3162.3	94.5929372523965	8.24502657988535	94.9515889353035	4.98149552829583	175.547248556786
17	2511.9	95.4868687734125	9.20709189468344	95.9297276620134	5.50758141043695	178.519303549282
18	1995.3	96.5028898513464	10.3291399751316	97.0541028616872	6.10936637845402	181.536360541665
19	1584.9	97.6345516214314	11.5996071220711	98.3211907764768	6.77534506144944	184.563418534022
20	1258.9	98.839002379127	13.1084242671718	99.7044591684306	7.55470799506734	187.670474526178
21	1000	100.157357328822	14.7884905124791	101.243250040341	8.39918191388431	191.18253951731
22	794.33	101.643641661212	16.7912523564306	103.021240750877	9.38038805695751	194.874608507989
23	630.96	103.125685662497	19.0771049513939	104.875368779741	10.4806020235484	198.516675498794
24	501.19	104.660885459839	21.8311062105853	106.91350776967	11.7823257996981	202.09874148975
25	398.11	106.174754803456	25.1098623531803	109.103545977982	13.3057310207129	205.755809480517
26	316.23	107.715210958751	29.2302627460833	111.610819063805	15.1825064598243	209.527878470993
27	251.19	109.226246977806	34.2861893226051	114.481071829024	17.4271067025093	213.474950461028
28	199.53	110.755098877727	40.8289943288787	118.041089055136	20.2360110342399	217.262022451466
29	158.49	112.444988315084	49.0602293275623	122.68162657404	23.5718491135306	221.294096441286
30	125.89	114.423245792393	59.4949971216356	128.966405936468	27.4724250647588	225.591175430437
31	100	116.842898720433	72.5271473428354	137.522543908563	31.8288514782712	233.584327410256
32	79.433	119.886642856593	89.1220533330852	149.383893126835	36.6265963912493	238.046404398991
33	63.096	124.486764744001	110.12551715194	166.206450309278	41.4971422232503	242.083481388798
34	50.119	129.636721640216	134.247985265941	186.623152758673	46.0011154469685	246.53056237757
35	39.811	137.574439222764	166.381728394888	215.892579472126	50.4140067244286	250.762643366885
36	31.623	149.175580707099	205.056091562276	253.577117591664	53.9646086570232	255.049719356061
37	25.119	164.593673699168	250.426271691638	299.673814296749	56.6849211693965	259.401802345073
38	19.953	187.123646455144	306.407071703529	359.027231073913	58.5874721667692	264.098889333214
39	15.849	219.623685646558	371.914566311271	431.920140687465	59.437220095575	269.345985319967
40	12.589	262.127528465665	446.195374743041	517.495075939473	59.5669340552961	274.303076307451
41	10	322.708349248648	534.236132919492	624.13854583062	58.8656880640755	280.250189292436
42	7.9433	407.205053354113	624.151432180517	745.238864908505	56.8790131231024	286.147296277548
43	6.3096	505.948870439435	718.364295377191	878.653242395263	54.8427022927017	301.343581239181
44	5.0119	636.999591687041	811.313441028478	1031.50277721532	51.8629070609593	313.775812207792
45	3.9811	798.59102838306	889.504968805215	1195.39396022528	48.0827380026144	327.995072171892
46	3.1623	967.47079878208	952.099186674837	1357.38447308157	44.5411942884457	334.367191155804
47	2.5119	1160.38640271245	973.668123043702	1514.76936113436	39.9996615814437	341.3793181381
48	1.9953	1344.99332831144	974.355713517719	1660.83596711623	35.9207607441645	348.386449120409
49	1.5849	1533.64368233873	956.386361572643	1807.41191126419	31.9478305981765	355.573581102263
50	1.2589	1673.0477040796	920.906894308651	1909.75342076176	28.8300012086536	362.960721083612
51	1	1838.48364254076	843.390835847477	2022.70368711817	24.6429420096638	373.139910057912
52	0.79433	1988.23551138168	723.5960064812	2115.81464909257	19.9984086071368	381.10205503781
53	0.63096	2156.17970560506	820.400932105055	2306.9825773642	20.8312293084122	385.799143025951
54	0.50119	2181.71233447889	611.351814974175	2265.74926946685	15.6537490348854	390.76623601341
55	0.39811	2295.49688730667	552.432428260143	2361.03527026345	13.5314398981963	395.988331000226
56	0.31623	2508.27544693144	520.379547856822	2561.68705963605	11.7206023747289	401.830437985476
57	0.25119	2391.6707439281	531.609643348017	2450.04035890476	12.5317128022528	408.852567967746
58	0.19953	2527.55526134984	537.740780887572	2584.12475445882	12.0106774005218	416.0797019495
59	0.15849	2538.5938085357	406.237193122385	2570.89229292316	9.0916453637812	424.691860927756
60	0.12589	2572.81174821756	384.268270156573	2601.35011008042	8.49474970646689	434.544044902882
61	0.1	2600.84204016249	315.551939983765	2619.91456820716	6.91770462717915	446.001256873955
