Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	100000	47.6869750719462	1.22769357529799	47.7027758419492	1.47474495348297	446.834275871852
2	79433	47.6729758093751	1.22765381809441	47.6887801942799	1.47513007335351	448.80730986687
3	63096	47.6595990864264	1.26811628697744	47.6764669831584	1.52415406874082	451.02535086127
4	50119	47.697161693367	1.38583778142441	47.7172901573384	1.66425675742097	453.283391855569
5	39811	47.7828712055659	1.50808647105465	47.8066638184665	1.80772554165511	455.701438849464
6	31623	47.9000746469763	1.70629627607556	47.9304558518657	2.04012740673702	458.129479843334
7	25119	47.9968982315037	1.94839158819562	48.0364285686006	2.32459511514019	460.552527837217
8	19953	48.1593566531613	2.22902358836136	48.2109134885854	2.65000556965469	463.170575830607
9	15849	48.313495073889	2.64368908719882	48.3857716508115	3.1320714304053	465.758623824073
10	12589	48.53156845232	3.02040672517776	48.6254665091012	3.56126223057392	468.3616718175
11	10000	48.7167424408312	3.56238564095751	48.8468175575563	4.18227924505541	471.079721810638
12	7943.3	49.027948584074	4.14077847754688	49.2024977898757	4.82760210401332	473.847772803649
13	6309.6	49.3611234727881	4.86576988430296	49.6003651908211	5.62974038929788	476.720824796396
14	5011.9	49.698180827396	5.7499011785307	50.0296965922782	6.59957391135168	479.613880789091
15	3981.1	50.0826771125254	6.78010227416038	50.5395323841203	7.70972765752814	482.611935781522
16	3162.3	50.4786563060318	8.05980194039106	51.1180511148539	9.07170183987248	485.439987774382
17	2511.9	50.9865435652392	9.58287640854051	51.8792747153562	10.6445124418386	488.623046766345
18	1995.3	51.4646141707974	11.4727640203432	52.7278941928798	12.5671891238869	491.55610075894
19	1584.9	52.0379381991233	13.7636984110163	53.8273759899662	14.8151096356628	494.849159750626
20	1258.9	52.6640405782139	16.5906395808937	55.2154914107162	17.4858790634951	497.927220742855
21	1000	53.3435914078303	20.0856084701674	56.9997404546933	20.6329987082598	501.785290733114
22	794.33	54.1109978268645	24.4377749006872	59.3734362144856	24.305033045908	505.57336172355
23	630.96	54.9785542420279	29.7865837348175	62.5290492262188	28.4481926883994	509.146424714529
24	501.19	55.9923178345633	36.4837778316861	66.829676801243	33.0876791370204	513.939515702427
25	398.11	57.1952811409595	44.7375856479437	72.6137160211519	38.0321674871377	519.632619688054
26	316.23	58.6823872675873	54.9962978871408	80.4252159258166	43.1428058199525	525.710733672708
27	251.19	60.5464268920991	67.7544769906885	90.865499292537	48.2155437111437	533.684880652575
28	199.53	62.8461689699445	83.5283723551764	104.530521583429	53.0424507042764	537.087942643983
29	158.49	65.6838538676267	102.981892483766	122.145973484359	57.4694772132816	540.971013634179
30	125.89	69.3847722644822	127.221594428025	144.912320770192	61.3926034253644	545.724101622179
31	100	73.6741314084	156.707276195126	173.161912819412	64.8199738495977	550.717196609573
32	79.433	79.3080304510068	193.306352219578	208.942837882655	67.6930692919396	556.340300595376
33	63.096	87.0481783565688	239.875516245382	255.181599354628	70.0547240260792	562.428412580005
34	50.119	95.747248744822	296.469381562352	311.547155092398	72.1017067154849	569.206536562892
35	39.811	108.368593185786	363.482037191516	379.292688236882	73.3985680421522	575.674658546561
36	31.623	126.242037363382	448.056118244928	465.501167661661	74.2645540000375	582.507784529309
37	25.119	146.8974295547	552.992803569889	572.171211797539	75.1234744415622	589.425913511843
38	19.953	173.782734698829	679.832187720621	701.692412913528	75.6607797188437	596.519044493934
39	15.849	215.925752201542	834.247436953344	861.738194886954	75.4887547242693	608.291263464212
40	12.589	264.239797418717	1029.8359355021	1063.19552509939	75.6092456290276	611.319318456567
41	10	334.950663599395	1259.02234669567	1302.81587974846	75.1020944102916	615.702398445501
42	7.9433	430.573476608402	1547.51365712029	1606.29761804357	74.4515366845755	619.600470435659
43	6.3096	568.086549792308	1862.43925310567	1947.15235653601	73.0370957494018	628.703639412676
44	5.0119	760.469163186288	2278.38073180572	2401.94340216851	71.5422195144906	638.016814389162
45	3.9811	1024.72234815885	2736.77592631686	2922.32755893033	69.4727513813223	642.024885379043
46	3.1623	1389.15365811506	3269.20172423591	3552.10188474394	66.9783242742162	645.942958369151
47	2.5119	1886.50172693909	3863.59726978746	4299.5665629053	63.9748545492582	650.111034358627
48	1.9953	2556.81578984057	4426.33956407439	5111.73052103379	59.9876968450338	657.264169340567
49	1.5849	3359.05047309084	5030.86562873902	6049.20069556296	56.269424368786	666.087333318291
50	1.2589	4358.70481009251	5531.32169502676	7042.28849986972	51.7617410775878	671.420431304826
51	1	5507.17636760446	5819.11626671934	8011.93520127932	46.5775967787801	682.37463727717
52	0.79433	6751.29660055155	5947.60588229514	8997.44527739573	41.3786828586825	689.152757260057
53	0.63096	7979.6357814891	5834.87528984425	9885.36073460428	36.1750461902513	696.510896241479
54	0.50119	9121.46966793081	5544.72936107721	10674.5132249941	31.2944453695828	708.759122210555
55	0.39811	10123.4798897607	5097.08937973855	11334.2474484825	26.724881057398	716.107256192003
56	0.31623	10936.8433582982	4581.89143434401	11857.8358801287	22.7308054085793	724.030403171999
57	0.25119	11564.0382803025	4059.6814131883	12255.9371132887	19.3441786213399	732.55356115048
58	0.19953	12091.7862363298	3588.74362536627	12613.1033133683	16.5304595719415	747.661843112335
59	0.15849	12476.070955974	3134.31244715268	12863.7576553228	14.1023328367533	763.890142071363
60	0.12589	12807.3239317178	2765.57388337032	13102.5167504694	12.1851791930977	781.298464027411
61	0.1	13049.6285076681	2447.91918857792	13277.2403963306	10.6243795600967	793.451690996727
