Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	100000	49.963171092197	1.13925496928901	49.9761579903177	1.30622598576134	127.569364677918
2	79433	49.9325506310474	1.02720324505272	49.9431152315188	1.17851200508498	129.547396672924
3	63096	49.921140196036	0.987049901047113	49.9308973079739	1.13271502426742	131.790437667261
4	50119	49.977339461999	0.985371685980248	49.9870524942151	1.12951840736148	134.133483661346
5	39811	50.0271875792071	1.02199872904835	50.0376256279947	1.17032503308878	136.486524655405
6	31623	50.0634981179079	1.11020454327981	50.0758065130228	1.27037887853978	138.859569649413
7	25119	50.1282965549829	1.21360484818739	50.1429850750019	1.38685852320277	141.317613643207
8	19953	50.2386705906564	1.36649648014881	50.257251569766	1.55806632787738	143.660659637292
9	15849	50.3017072645882	1.55494896109552	50.3257351660553	1.770589026986	146.098704631136
10	12589	50.4053292367702	1.79457000406191	50.4372649631865	2.03902797289804	148.55674862493
11	10000	50.5233676700482	2.10103842002404	50.5670351431176	2.38130033739889	151.134795618421
12	7943.3	50.6924835637691	2.46137930372629	50.7522046608796	2.77981989421037	153.79284561171
13	6309.6	50.8543794961834	2.90191814588365	50.9371087014884	3.2659438124112	156.560896604722
14	5011.9	51.0503272999576	3.44250444000857	51.1662657837395	3.8578169560362	159.398948597556
15	3981.1	51.2620129519946	4.07627335775547	51.4238269324407	4.54650216006614	162.387004590012
16	3162.3	51.501733435759	4.87715458903174	51.7321484550303	5.40971134510277	165.395062582418
17	2511.9	51.7923690742614	5.82234139126536	52.1186065968858	6.41408908348111	168.568121574406
18	1995.3	52.1127835444564	6.969445961145	52.5767570867269	7.61740829648601	171.701177566496
19	1584.9	52.4694407059792	8.3714034164258	53.1330650645981	9.06503356210321	174.879238558472
20	1258.9	52.8539362563791	10.0856010373022	53.8076010065215	10.8033193402256	178.237299549994
21	1000	53.339897022493	12.1972079876642	54.7166930384549	12.8803419464108	181.285354542298
22	794.33	53.829988551018	14.7844875567793	55.8233709096763	15.3576863474928	184.658416533782
23	630.96	54.393784619959	17.9749576512084	57.2868475991236	18.2866426489927	187.716475526061
24	501.19	55.0202497531241	21.9377507831869	59.2325315373348	21.7382276726386	190.819533518227
25	398.11	55.7555407068895	26.8799555826393	61.896787732824	25.7388905513434	194.312595509408
26	316.23	56.5521073269254	33.0164126513066	65.4845351779902	30.2773592771247	197.470656501435
27	251.19	57.5313200773773	40.6853121352373	70.4638021496663	35.2673942710801	200.718714493234
28	199.53	58.7187734148923	50.2354266180083	77.2754323109406	40.5478422069812	203.906773485185
29	158.49	60.3237565372198	62.2403671368376	86.6765187584856	45.8958963296255	211.183912466812
30	125.89	62.4628867985893	76.6965748477112	98.9139869815384	50.8400914403698	214.846975457564
31	100	65.1648664337155	95.6009067605785	115.697853008467	55.7203120232096	218.855052447444
32	79.433	69.1837418326888	118.814278209252	137.488991706091	59.7884095370833	222.543120438133
33	63.096	74.3372934418263	147.574866977873	165.24035390846	63.2644174685897	226.286187428682
34	50.119	82.3070056329061	183.242914583292	200.879090303682	65.8118699139996	230.784271417326
35	39.811	94.1805443052906	226.377035067018	245.186738897874	67.4110286269119	235.202352406171
36	31.623	111.631236480466	279.529515834043	300.995486977084	68.2305043431951	238.26040939845
37	25.119	136.450400546423	343.946506015812	370.024203005377	68.3607905313805	242.843494386879
38	19.953	171.518221238626	420.124384307759	453.787393508057	67.7919763635654	246.556565377505
39	15.849	223.933177446977	509.47408212286	556.515865287262	66.2726903635225	251.569658364848
40	12.589	293.893946380754	606.703819582382	674.138840607115	64.1539461967017	263.555881334585
41	10	396.421322683474	712.741869245009	815.567800524876	60.9175384097629	268.90897732107
42	7.9433	528.598666749015	819.142550618336	974.890285479525	57.1655516113118	274.412079307176
43	6.3096	688.502459442105	902.50948149582	1135.14712740141	52.660873764044	280.065185292903
44	5.0119	875.869397832558	972.35599200826	1308.67237200681	47.9884129233696	285.258279279792
45	3.9811	1074.98737915866	1008.07491498073	1473.70719600734	43.1601683223837	290.991386265317
46	3.1623	1284.20696520158	994.366634210215	1624.17749421139	37.7507632103874	294.859457255551
47	2.5119	1477.90447382131	955.315100040624	1759.78083127038	32.8785630191322	300.982573240092
48	1.9953	1656.97096761536	908.448520228223	1889.66438856878	28.7341331637959	304.860645230301
49	1.5849	1783.03088083249	839.674711742725	1970.85076643122	25.2169420309863	311.423765213731
50	1.2589	1898.15998003573	789.863769238635	2055.94165378425	22.5932084710854	317.706883197867
51	1	1985.16792149092	714.857375422831	2109.95562600567	19.8039077091148	328.801090169857
52	0.79433	2067.59600750855	666.984973677499	2172.51517955039	17.8791614282642	335.73921415234
53	0.63096	2137.80081520676	634.5226690435	2229.98012166673	16.531464705435	343.152353133624
54	0.50119	2205.01811511722	613.734826335945	2288.83711195286	15.5537729709936	350.775492114377
55	0.39811	2265.75939024071	606.636920456018	2345.56474387818	14.9888754925505	358.688639094398
56	0.31623	2329.45489198637	615.87086521312	2409.49310362524	14.8092497788644	367.49680307216
57	0.25119	2398.43366518323	634.162963616699	2480.85604393068	14.8104824323617	377.134983047826
58	0.19953	2474.598200766	652.9409875873	2559.29056351673	14.7810380153479	387.648178021282
59	0.15849	2553.07146990275	703.61192723624	2648.25294762047	15.4079029079299	399.261389991962
60	0.12589	2633.81409377573	755.640079419063	2740.0672638087	16.0081615571033	412.029626959725
61	0.1	2732.53420086483	795.747829666759	2846.04247461547	16.236214526301	426.522895923133
