Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	100000	59.505463385877	1.36102773412942	59.5210262786271	1.31025869510047	128.829387674737
2	79433	59.4741167857746	1.25045223057171	59.4872608062339	1.20447490127093	130.93142266943
3	63096	59.4510285450014	1.18731101749234	59.4628834022606	1.14411591819143	133.34346666334
4	50119	59.4689054905877	1.19349200308198	59.4808804861686	1.14972481036527	135.800513657137
5	39811	59.5221064315273	1.22741330870422	59.5347604133623	1.18133649584573	138.232558650996
6	31623	59.5872563395914	1.33461143498121	59.6022005110764	1.28307333378173	140.699602644768
7	25119	59.6770439788679	1.44961955549133	59.6946477911664	1.39150243635994	143.071648638779
8	19953	59.75938823454	1.64221560853501	59.7819483980858	1.57411833663353	145.693695632159
9	15849	59.8417727027813	1.87285741642751	59.8710727740335	1.79259079333233	148.290743625602
10	12589	59.9896776241673	2.14702068945355	60.0280860872014	2.04973164263685	150.967792618843
11	10000	60.1274253797433	2.49972028733402	60.1793642730754	2.38062735036552	153.80484561168
12	7943.3	60.3011832629834	2.93178075995005	60.3724112599482	2.78346934762612	156.696901604378
13	6309.6	60.518834372067	3.44899222451106	60.6170344137555	3.26178079295629	159.623955596988
14	5011.9	60.7221602871597	4.06953125671363	60.8583752214014	3.83416548581805	162.736011589131
15	3981.1	61.002396574829	4.83882345425138	61.1940078789919	4.5353116129294	166.29307658015
16	3162.3	61.3395202160212	5.76213587125878	61.6095686572347	5.36652485660381	169.835142571207
17	2511.9	61.6533213898355	6.86522231681685	62.0343720517719	6.3538265219066	173.147206562845
18	1995.3	62.0647910576523	8.19950436896635	62.6040746351764	7.5258780922001	176.639267554029
19	1584.9	62.4543402512901	9.85065376622224	63.2264184961152	8.96317616730498	180.406337544518
20	1258.9	62.9420714233063	11.8557140169528	64.0489056105439	10.6672007919109	184.058405535297
21	1000	63.4732891685662	14.3463785367695	65.0743960017817	12.736122116623	187.730473526026
22	794.33	64.0685515905951	17.3810871550152	66.3843467513764	15.1783837624281	191.457542516616
23	630.96	64.7530633506969	21.1369837043323	68.115573060913	18.0779491122146	195.294616506928
24	501.19	65.459273682399	25.7714811700596	70.3497388248595	21.4896848713068	199.071683497392
25	398.11	66.3303899082169	31.5171442915051	73.4373951721303	25.4149128205181	202.943757487616
26	316.23	67.3017451058098	38.6341867499029	77.6023535732891	29.8577353716878	207.105832477108
27	251.19	68.4369488205118	47.4660119263135	83.2864830092512	34.7441278364245	213.69195846048
28	199.53	69.6134099562426	58.5534596817995	90.964468263405	40.0679724418351	217.759032450211
29	158.49	71.0560576703133	72.3356438734166	101.397281552459	45.5112774461763	222.5561184381
30	125.89	72.9393996440015	90.0594043880491	115.891554218405	50.9958766392526	226.608195427869
31	100	74.8295599904551	111.106280124177	133.955472196537	56.0399178997373	230.530266417967
32	79.433	77.8542899300269	138.402932583681	158.797551014717	60.6414161369297	234.472340408014
33	63.096	82.8593846210026	172.430669033739	191.306072154529	64.3339746335001	239.004423396572
34	50.119	88.5171784065171	215.667252014527	233.12583397073	67.6850849583663	243.766512384549
35	39.811	95.7202997552727	267.743024805225	284.339063649529	70.3276185715387	248.518599372551
36	31.623	108.579279834969	334.147161625434	351.345678259765	71.9987149577982	253.465690360061
37	25.119	125.211142081608	415.680223580456	434.128873005791	73.2366550310605	258.437783347507
38	19.953	151.165604308718	515.473718269315	537.181714275917	73.6559243741563	263.809882333944
39	15.849	187.535845719856	634.379906625879	661.519130003449	73.5312288046339	275.869107303497
40	12.589	243.580699059629	785.288717542192	822.198228442167	72.7671655952074	281.49620928929
41	10	329.263460454348	955.463864198721	1010.60656151636	70.9854799166944	292.451417261631
42	7.9433	444.396559373449	1153.52102376735	1236.16303708541	68.9307087935743	297.963515247714
43	6.3096	635.157136060176	1375.40831195262	1514.98271015762	65.2127276451647	304.105629232207
44	5.0119	854.251103777497	1613.95761607878	1826.08984850247	62.1081930355726	310.472748216132
45	3.9811	1151.34303804481	1836.07754340535	2167.20362140978	57.9095458938028	316.914867199867
46	3.1623	1523.59320213794	2024.95180134168	2534.12036875873	53.0418456665541	323.461989183337
47	2.5119	1935.03643951483	2143.92940675145	2888.04420384867	47.9316838828946	330.2891161661
48	1.9953	2396.64275272091	2178.55426259146	3238.82620083652	42.2709155978253	337.111242148876
49	1.5849	2760.16019555521	2224.09563387714	3544.72646247334	38.8613454388033	344.133372131147
50	1.2589	3186.7766756179	2136.04693722093	3836.43611940473	33.8333331886429	351.585508112332
51	1	3544.1714650511	2018.32324367992	4078.5757427883	29.6605069049076	360.281670090376
52	0.79433	3869.21543654255	1909.12034300988	4314.57629188236	26.2623203780613	364.588748079502
53	0.63096	4074.90424281311	1828.29310148102	4466.26244784376	24.1644110476941	369.160833067958
54	0.50119	4326.14187241017	1751.72648074241	4667.3385524895	22.0438402015506	374.007925055721
55	0.39811	4534.3335405057	1677.96231836669	4834.84624351318	20.3073512736098	379.380024042158
56	0.31623	4679.0947743811	1607.57829222385	4947.54847103794	18.9609835087078	385.327133027143
57	0.25119	4886.55159565593	1679.657427938	5167.16900945139	18.9694149450311	391.8792540106
58	0.19953	5116.81147055012	1763.37319589829	5412.13863949971	19.0151519241223	399.296393991874
59	0.15849	5269.4297998935	1754.69242055462	5553.90276353102	18.4174872185154	407.668545970736
60	0.12589	5493.38136547581	1872.29316067893	5803.68163376334	18.8205005594418	417.29572494643
61	0.1	5656.55642344945	2032.33094101736	6010.57398469429	19.7627368932567	428.45293191826
