Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	100000	53.8095189889863	1.12373298678858	53.8212514686502	1.19636453125394	752.137928101034
2	79433	53.8651671614226	1.02470321053131	53.8749129929476	1.08983395877382	754.100965096078
3	63096	53.8395437929423	0.999345351011492	53.8488176932673	1.06337633015935	756.434008090188
4	50119	53.8794140461293	1.01945074191125	53.8890576812159	1.08396234660271	758.777050084272
5	39811	53.9257646633319	1.06688929127556	53.9363175169096	1.13341517155084	761.09509207842
6	31623	53.9843358206779	1.15948951812137	53.9967862927263	1.23042438027921	763.48313707239
7	25119	54.0623624750977	1.28941434172841	54.077736876958	1.36627392538569	766.271188065351
8	19953	54.1626312664123	1.45801224228526	54.1822519410185	1.54198155517605	768.784237059006
9	15849	54.2609633754094	1.67964806831928	54.2869539029492	1.77302463239283	771.337284052561
10	12589	54.409523126844	1.93829843785857	54.4440373936832	2.04025636023025	773.925331046026
11	10000	54.4801830381843	2.25072701085635	54.5266550959387	2.36570181606836	776.698384039025
12	7943.3	54.6576783413017	2.65244578259465	54.7219998747378	2.77828883593177	779.486435031986
13	6309.6	54.8498105051185	3.12309253495241	54.9386514161868	3.25884478998224	782.214484025098
14	5011.9	55.0730279045072	3.69279591404061	55.196695048104	3.83609520287623	785.032535017983
15	3981.1	55.3036161481293	4.38767040809111	55.4773972953821	4.53622255998357	787.945591010629
16	3162.3	55.5658442021868	5.22673685219498	55.8111263102958	5.37364974197366	790.988646002946
17	2511.9	55.8804338200143	6.23452981262063	56.2271486552311	6.36611136654543	794.271706994657
18	1995.3	56.2136996394298	7.47330033365694	56.7082907962237	7.57275102897409	797.544768986393
19	1584.9	56.6165250792832	8.96059689813915	57.3212282564151	8.99350415306031	800.877828977978
20	1258.9	57.1028325122507	10.8035042084312	58.1158255908298	10.7133803352587	804.125890969777
21	1000	57.6148813950006	13.0406392266636	59.0722678555681	12.7535215923262	807.228946961943
22	794.33	58.1876043195324	15.7932246300032	60.2928125124397	15.185329472404	810.872015952745
23	630.96	58.8755083521732	19.163459136746	61.9157786821143	18.0296122915486	814.4150799438
24	501.19	59.6047890550106	23.2935060543435	63.9946740174216	21.3455201727056	818.04314593464
25	398.11	60.5107510745302	28.4256632267909	66.8548377119165	25.1623635054537	821.681213925454
26	316.23	61.4484331212256	34.7186936244744	70.5783084243584	29.4666807469451	825.554286915676
27	251.19	62.5591986613346	42.5742149163531	75.6717722330602	34.2369649646707	829.552361905582
28	199.53	63.7983871150805	52.3540366815371	82.5298694736482	39.3728820760264	836.57949188784
29	158.49	65.2976834624882	64.5152488596135	91.7932720899804	44.6546595411379	841.805590874645
30	125.89	66.9753620457756	79.7753633367787	104.162410286426	49.9848794511716	845.72865886474
31	100	69.4870864654185	98.8848346480956	120.858039487796	54.904010254649	849.741733854608
32	79.433	72.6108313841959	122.967483990608	142.805234334336	59.4386563669045	858.521897832441
33	63.096	77.2788445777936	152.939214492805	171.354670636534	63.1929301472876	862.679972821942
34	50.119	82.9446943791374	189.556187416137	206.909087556323	66.3671054417906	867.438062809929
35	39.811	91.7533857728184	236.100583715712	253.302525513812	68.7628829002824	871.896146798674
36	31.623	104.110015218893	293.293037451187	311.222912212809	70.4567013613606	876.519229787002
37	25.119	124.045376006593	362.967710067847	383.578953881093	71.1319729000462	881.202318775178
38	19.953	150.855277202133	448.633668967012	473.317529350578	71.4145284716275	886.070409762887
39	15.849	193.77890917057	552.258116213889	585.268564475702	70.664809809292	891.163502750028
40	12.589	247.298807995245	670.482118826458	714.634852286037	69.7541449419328	903.972742717688
41	10	335.791646813609	816.138635613181	882.518159932327	67.635799995927	909.200834704489
42	7.9433	446.228849748794	974.285413913415	1071.61198860062	65.3919222677254	914.758939690456
43	6.3096	615.410226231567	1136.37959954157	1292.31897796351	61.5620895289293	920.7220496754
44	5.0119	818.64723092427	1296.23559552819	1533.10469564681	57.7252367003976	926.910162659777
45	3.9811	1072.9384119961	1434.58417413745	1791.4319938592	53.2068549265784	930.793234649973
46	3.1623	1378.12152742381	1540.97519063129	2067.32278139871	48.1931676253197	937.096352634059
47	2.5119	1693.18962234585	1574.9700682284	2312.44931037095	42.9283357885139	944.054482616492
48	1.9953	2007.5431698841	1596.65478716387	2565.06064028155	38.496203896491	950.762606599555
49	1.5849	2306.87572917225	1552.60536637166	2780.69398775379	33.9418870452599	957.500730582543
50	1.2589	2563.80503736575	1498.77740593284	2969.75251193711	30.3101728781841	964.56386256471
51	1	2756.37067252565	1394.85418199158	3089.20660904687	26.8415720274245	973.068019543239
52	0.79433	2951.38588362088	1320.98967150404	3233.52630208213	24.1124701837385	977.146092532943
53	0.63096	3119.60069116216	1253.69041742556	3362.089846367	21.8939753467607	981.654177521561
54	0.50119	3263.37063935261	1213.21247560596	3481.59050446123	20.3934570773567	986.3522635097
55	0.39811	3398.1625522071	1192.82768610618	3601.43674385156	19.3421635803785	991.405359496942
56	0.31623	3547.28364820861	1192.56196115189	3742.38230436638	18.582139558053	997.168466482392
57	0.25119	3664.02147774496	1194.14020845376	3853.70266455812	18.0512924913319	1003.60658346614
58	0.19953	3816.16083232136	1234.40032161475	4010.83877164693	17.9246584869731	1010.85971944782
59	0.15849	3965.43599756946	1296.77109912704	4172.0855617246	18.1087045004864	1019.13287242694
60	0.12589	4119.79897154904	1373.8165489064	4342.82344518237	18.4418355374111	1028.43104440346
61	0.1	4277.32456218797	1481.08888477009	4526.49198550997	19.0991920980951	1039.61924937521
