Index	Frequency (Hz)	Z' (Ω)	-Z'' (Ω)	Z (Ω)	-Phase (°)	Time (s)
1	100000	57.0937021177053	1.12986577970357	57.1048808613187	1.13371684139574	442.653195882408
2	79433	57.0342570395496	1.08743909378476	57.0446228827583	1.0922930440729	444.645230877379
3	63096	57.0481032310328	1.05107315267046	57.0577850694438	1.05551699949634	446.887273871718
4	50119	57.0836371827609	1.08623118506962	57.0939710670094	1.09013642730856	449.174316865944
5	39811	57.1385744749507	1.13774035934597	57.1499006661846	1.14071987421982	451.44135786022
6	31623	57.1879749503452	1.23359099525162	57.2012781820903	1.23572479000028	453.768398854345
7	25119	57.2860915161887	1.37490398562304	57.3025884421536	1.37487255443634	456.065444848545
8	19953	57.3759488167982	1.56427284424621	57.397268682047	1.56170028171239	458.432487842569
9	15849	57.4409533606831	1.79025686368171	57.4688449737954	1.78515437472583	460.854532836454
10	12589	57.6263443703222	2.07228342785879	57.6635927088518	2.05950862554978	463.361579830124
11	10000	57.7278807210645	2.42508735637263	57.7787959482671	2.40552085706968	465.873623823782
12	7943.3	57.8983169860961	2.85489981252735	57.9686601773927	2.82290302579303	468.450671817276
13	6309.6	58.1185701119682	3.36356461593331	58.2158205197292	3.31225154018167	471.152723810454
14	5011.9	58.3545177833833	3.9792384462748	58.4900340600303	3.90100323971786	473.974775803329
15	3981.1	58.5868554272718	4.70636361615994	58.7755858102968	4.59278734657597	476.776824796254
16	3162.3	58.9128317422983	5.60733383968789	59.1790836080288	5.43704345512263	479.623877789066
17	2511.9	59.2163991666122	6.70475003162157	59.5947615419852	6.45977812868347	482.575934781613
18	1995.3	59.5932593854103	8.03020887362586	60.1318619263603	7.67439595536598	485.657989773831
19	1584.9	59.9986322405369	9.61760858809529	60.7645806838902	9.10687553603965	488.710048766126
20	1258.9	60.425343239253	11.598084451362	61.5283484950024	10.8652500827535	491.882106758117
21	1000	60.9874467623091	14.0100868984227	62.5759634163698	12.9375719691572	495.009165750222
22	794.33	61.5066405955379	16.9985818944563	63.8123704603677	15.4491947957499	498.326226741847
23	630.96	62.1577250642769	20.6546204571781	65.499588787994	18.3813221808935	501.583284733624
24	501.19	62.8227586803977	25.2120140991906	67.6930178316292	21.8665663325885	504.915348725211
25	398.11	63.5818696482787	30.8495637496133	70.670713393259	25.8823993210964	508.292410716685
26	316.23	64.4207816760921	37.8933948566507	74.7391897569191	30.4647634964486	511.589471708361
27	251.19	65.5359359515335	46.7180748163932	80.4831498861321	35.4836249141567	518.792604690175
28	199.53	66.5265568176194	57.5644712483883	87.9741502494595	40.8691640853405	523.696695677793
29	158.49	67.8744882124844	71.2693336711315	98.418819704535	46.3976311186757	527.463766668282
30	125.89	69.4142984725816	88.4099938954379	112.404056212541	51.8630931934322	531.325835658531
31	100	71.4658832637118	109.995448155032	131.173057772886	56.9875433979444	534.797900649765
32	79.433	74.4151595325337	136.951887785914	155.863515732124	61.4817953629002	541.86603263192
33	63.096	78.0587672984152	169.96248125307	187.030522070191	65.3320731352296	545.763103622081
34	50.119	84.6150970456535	211.896956482903	228.166682087378	68.2320912630834	549.965183611471
35	39.811	91.5893338866532	265.389869890571	280.749691223935	70.9598109958796	554.147260600913
36	31.623	103.161604553541	328.719486972897	344.526947813645	72.576646502196	558.46934159
37	25.119	120.838902448446	412.197790693258	429.54517689918	73.6611015604869	562.836419578975
38	19.953	144.990373699733	511.312580429338	531.472260208279	74.1685173969507	567.583507566989
39	15.849	176.814641200017	632.693702225721	656.935870674436	74.3862749903058	579.017721538121
40	12.589	234.056531741674	780.132093510706	814.486674769047	73.2996168101817	583.994810525555
41	10	318.555679684783	957.034258604641	1008.65866040121	71.589610516642	587.12187051766
42	7.9433	430.297116906571	1160.14336494058	1237.37150283727	69.6501852129042	598.274077489503
43	6.3096	613.33357589431	1383.09083209482	1512.98325342485	66.0850403241494	603.696179475814
44	5.0119	822.97160550616	1623.2867470138	1819.98410061737	63.1159681205247	609.368280461493
45	3.9811	1123.42588784399	1860.9769909461	2173.7803675415	58.8816558627084	615.105389447008
46	3.1623	1488.4156873264	2068.34789677636	2548.2237500617	54.260615448078	620.972495432195
47	2.5119	1905.02527520487	2214.46395542761	2921.12511013436	49.2957503341055	627.089608416751
48	1.9953	2367.08329395177	2296.77450421284	3298.22019333272	44.1363176232678	633.281723401117
49	1.5849	2811.11613347666	2298.8814857441	3631.42258645145	39.2756981407425	639.828847384587
50	1.2589	3245.04529063626	2257.63487256218	3953.12966598484	34.8270122704599	646.415968367957
51	1	3627.29952426324	2149.08018102695	4216.14130019419	30.645633232372	654.882126346582
52	0.79433	3961.55918698732	2039.10427058281	4455.54681473696	27.2359065166832	658.959200336288
53	0.63096	4258.85509187194	1922.06459167156	4672.49173226889	24.2901403902568	663.386282325111
54	0.50119	4506.93603429958	1829.00146237028	4863.92010282042	22.0882618557803	668.208371312936
55	0.39811	4735.75613739335	1744.59603973834	5046.88037650284	20.2231952452691	673.445467299714
56	0.31623	4920.58595178089	1687.19756440127	5201.80754451614	18.9260981433285	679.04757028557
57	0.25119	5108.70281618465	1661.75931520566	5372.17725747818	18.0186752893112	685.434691269444
58	0.19953	5307.39285794143	1673.77947329881	5565.06573849439	17.5035833157112	692.761827250945
59	0.15849	5500.11677001827	1695.26606000537	5755.45059035714	17.130535459754	701.058980229996
60	0.12589	5681.21154910023	1770.44362341316	5950.683598488	17.3086713732879	710.601155205905
61	0.1	5918.51832567864	1843.6529689204	6199.02536220033	17.3021160327721	721.643362178026
